row_label_raw,row_label_full,Mãsố,col_1,Số liệuđã báo cáoVND,Phân loại lại (**)VND,Số liệuphân loại lạiVND,numeric__col_1,numeric__Số liệuđã báo cáoVND,numeric__Phân loại lại (**)VND,numeric__Số liệuphân loại lạiVND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,9.621.132.613.815,(64.391.698.086),9.556.740.915.729,,9621132613815.0,-64391698086.0,9556740915729.0
02,02,02,Các khoản giảm trừ doanh thu,64.745.478.363,(64.391.698.086),353.780.277,,64745478363.0,-64391698086.0,353780277.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (\( 10 = 01 - 02 \)),9.556.387.135.452,-,9.556.387.135.452,,9556387135452.0,,9556387135452.0
11,11,11,Giá vốn hàng bán,4.624.333.609.949,196.317.749.104,4.820.651.359.053,,4624333609949.0,196317749104.0,4820651359053.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(\( 20 = 10 - 11 \)),4.932.053.525.503,(196.317.749.104),4.735.735.776.399,,4932053525503.0,-196317749104.0,4735735776399.0
25,25,25,Chi phí bán hàng,1.176.283.414.531,216.696.914.028,1.392.980.328.559,,1176283414531.0,216696914028.0,1392980328559.0
26,26,26,Chi phí quản lý doanh nghiệp,2.000.267.300.384,(413.014.663.132),1.587.252.637.252,,2000267300384.0,-413014663132.0,1587252637252.0
