row_label_raw,row_label_full,- Tổng Công ty Đầu tư và Kinh doanh vốn,- Tổng Công ty Đầu tư và Kinh doanh vốn_1,- Tổng Công ty Đầu tư và Kinh doanh vốn_2,numeric__- Tổng Công ty Đầu tư và Kinh doanh vốn_1,numeric__- Tổng Công ty Đầu tư và Kinh doanh vốn_2
Nhà nước – Công ty TNHH,Nhà nước – Công ty TNHH,Nhà nước – Công ty TNHH,-,274.570.036.000,,274570036000.0
- Công ty Cổ phần FPT,- Công ty Cổ phần FPT,- Công ty Cổ phần FPT,-,249.845.764.000,,249845764000.0
- Các cổ đông khác,- Các cổ đông khác,- Các cổ đông khác,1.924.169.933,24.343.806.633,1924169933.0,24343806633.0
