row_label_raw,row_label_full,col_0,col_1,2021 > Giá gốc VND,2021 > Giá trị ghi số VND,2020 > Giá gốc VND,2020 > Giá trị ghi số VND,numeric__col_1,numeric__2021 > Giá gốc VND,numeric__2021 > Giá trị ghi số VND,numeric__2020 > Giá gốc VND,numeric__2020 > Giá trị ghi số VND
i.,i.,i.,Ngắn hạn,,,,,,,,,
i.,i. > i.,i.,Tiền gửi có kỳ hạn,100.000.000,100.000.000,100.000.000,100.000.000,,100000000.0,100000000.0,100000000.0,100000000.0
ii.,ii.,ii.,Dài hạn,,,,,,,,,
ii.,ii. > ii.,ii.,Tiền gửi có kỳ hạn,200.000.000,200.000.000,200.000.000,200.000.000,,200000000.0,200000000.0,200000000.0,200000000.0
