row_label_raw,row_label_full,01,Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản:,2.285.386.359.986,1.834.345.605.750,numeric__Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản:,numeric__2.285.386.359.986,numeric__1.834.345.605.750
02,02,02,"Khấu hao tài sản cố định (""TSCĐ"")",1.078.169.865.740,1.033.986.460.914,,1078169865740.0,1033986460914.0
03,03,03,Các khoản dự phòng,42.701.498.763,108.284.561.116,,42701498763.0,108284561116.0
04,04,04,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,25.881.501.736,(3.043.288.951),,25881501736.0,-3043288951.0
05,05,05,Lãi từ hoạt động đầu tư,(643.934.235.915),(317.692.402.145),,-643934235915.0,-317692402145.0
06,06,06,Chi phí lãi vay,220.614.607.102,241.308.909.041,,220614607102.0,241308909041.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,3.008.819.597.412,2.897.189.845.725,,3008819597412.0,2897189845725.0
09,09,09,Tăng các khoản phải thu,(499.126.566.949),(894.065.141.400),,-499126566949.0,-894065141400.0
10,10,10,Tăng hàng tồn kho,(2.325.246.654),(44.404.478.211),,-2325246654.0,-44404478211.0
11,11,11,Tăng các khoản phải trả,326.382.669.076,733.590.446.147,,326382669076.0,733590446147.0
12,12,12,(Tăng)/giảm chi phí trả trước,(140.367.049.730),69.961.450.036,,-140367049730.0,69961450036.0
14,14,14,Tiền lãi vay đã trả,(207.449.283.488),(265.930.815.066),,-207449283488.0,-265930815066.0
15,15,15,Thuế TNDN đã nộp,(419.946.779.376),(303.644.807.596),,-419946779376.0,-303644807596.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,250.000.000,263.300.000,,250000000.0,263300000.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,(162.443.703.914),(148.111.029.966),,-162443703914.0,-148111029966.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1.903.793.636.377,2.044.848.769.669,,1903793636377.0,2044848769669.0
