row_label_raw,row_label_full,Công ty TNHH MTV Viễn thông quốc tế FPT,816.642.623.423,597.991.666.772,numeric__816.642.623.423,numeric__597.991.666.772
Công ty TNHH Truyền Hinh FPT,Công ty TNHH Truyền Hinh FPT,Công ty TNHH Truyền Hinh FPT,4.969.019.115,-,4969019115.0,
Công ty CP Dịch vụ trực tuyến FPT,Công ty CP Dịch vụ trực tuyến FPT,Công ty CP Dịch vụ trực tuyến FPT,2.215.254.508,4.351.167.636,2215254508.0,4351167636.0
Công ty Cổ phần Công nghệ Viễn thông FPT,Công ty Cổ phần Công nghệ Viễn thông FPT,Công ty Cổ phần Công nghệ Viễn thông FPT,1.337.426.316,1.444.043.816,1337426316.0,1444043816.0
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,175.659.000,1.089.296.328,175659000.0,1089296328.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,119.724.500,349.842.702,119724500.0,349842702.0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,6.300.124,-,6300124.0,
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,6.050.000,355.327.509,6050000.0,355327509.0
Khác,Khác,Khác,221.970.126,-,221970126.0,
,,,825.694.027.112,605.581.344.763,825694027112.0,605581344763.0
