row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND(Phân loại lại - Thuyết minh 33),numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND(Phân loại lại - Thuyết minh 33)
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,22,10.239.859.657.536,9.556.740.915.729,,22.0,10239859657536.0,9556740915729.0
02,02,02,Các khoản giảm trừ doanh thu,22,926.270.474,353.780.277,,22.0,926270474.0,353780277.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),22,10.238.933.387.062,9.556.387.135.452,,22.0,10238933387062.0,9556387135452.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,23,5.222.748.517.411,4.820.651.359.053,,23.0,5222748517411.0,4820651359053.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,5.016.184.869.651,4.735.735.776.399,,,5016184869651.0,4735735776399.0
21,21,21,Doanh thu hoạt động tài chính,24,685.763.195.626,332.029.687.502,,24.0,685763195626.0,332029687502.0
22,22,22,Chi phí tài chính,25,292.398.148.247,252.750.660.855,,25.0,292398148247.0,252750660855.0
23,23,23,- Trong đó: Chi phí lãi vay,,220.614.607.102,241.308.909.041,,,220614607102.0,241308909041.0
25,25,25,Chi phí bán hàng,26,1.505.525.901.918,1.392.980.328.559,,26.0,1505525901918.0,1392980328559.0
26,26,26,Chi phí quản lý doanh nghiệp,27,1.620.742.349.761,1.587.252.637.252,,27.0,1620742349761.0,1587252637252.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25 - 26),,2.283.281.665.351,1.834.781.837.235,,,2283281665351.0,1834781837235.0
31,31,31,Thu nhập khác,,16.227.229.209,6.645.989.389,,,16227229209.0,6645989389.0
32,32,32,Chi phí khác,,14.122.534.574,7.082.220.874,,,14122534574.0,7082220874.0
40,40,40,Lợi nhuận/(lỗ) khác (40 = 31 - 32),,2.104.694.635,(436.231.485),,,2104694635.0,-436231485.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,2.285.386.359.986,1.834.345.605.750,,,2285386359986.0,1834345605750.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp (“TNDN”) hiện hành,28,360.087.857.575,357.047.073.961,,28.0,360087857575.0,357047073961.0
52,52,52,Chi phí/(thu nhập) thuế TNDN hoãn lại,28,20.716.930.617,(25.940.518.965),,28.0,20716930617.0,-25940518965.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,1.904.581.571.794,1.503.239.050.754,,,1904581571794.0,1503239050754.0
