row_label_raw,row_label_full,col_0,Hoạt độngbốc dỡ containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",Hoạt động vận chuyển VND,Khác VND,Tổng cộng VND,numeric__Hoạt độngbốc dỡ containerVND,"numeric__Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",numeric__Hoạt động vận chuyển VND,numeric__Khác VND,numeric__Tổng cộng VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,943.678.041.239(707.800.095.646),150.369.414.790(112.783.684.180),455.420.373.236(341.585.339.119),342.663.173.107(257.012.472.581),1.892.131.002.372(1.419.181.591.526),,,,,
Tổng chi phí phân bổ,Tổng chi phí phân bổ,Tổng chi phí phân bổ,,,,,,,,,,
Tổng cộng,Tổng chi phí phân bổ > Tổng cộng,Tổng cộng,235.877.945.593,37.585.730.610,113.835.034.117,85.650.700.526,472.949.410.846,235877945593.0,37585730610.0,113835034117.0,85650700526.0,472949410846.0
Doanh thu thuần về hoạt động tài chính,Doanh thu thuần về hoạt động tài chính,Doanh thu thuần về hoạt động tài chính,,,,,11.037.366.253(5.736.750.358),,,,,
Lỗ khác,Lỗ khác,Lỗ khác,,,,,11.037.366.253(5.736.750.358),,,,,
Phân chia lợi nhuận của công ty liên kết,Phân chia lợi nhuận của công ty liên kết,Phân chia lợi nhuận của công ty liên kết,,,,,4.441.262.368(68.888.751.280),,,,,
Thuế TNDN,Thuế TNDN,Thuế TNDN,,,,,4.441.262.368(68.888.751.280),,,,,
Lợi nhuận thuần sau thuế TNDN,Thuế TNDN > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,413.802.537.829,,,,,413802537829.0
