row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,5.417.853.001,16.018.625.749,21.436.478.750,5417853001.0,16018625749.0,21436478750.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,30.000.000,30.000.000,,30000000.0,30000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(103.310.000),(103.310.000),,-103310000.0,-103310000.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.417.853.001,15.945.315.749,21.363.168.750,5417853001.0,15945315749.0,21363168750.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,(14.057.999.858),(14.057.999.858),,-14057999858.0,-14057999858.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(1.015.218.350),(1.015.218.350),,-1015218350.0,-1015218350.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,103.310.000,103.310.000,,103310000.0,103310000.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,(14.969.908.208),(14.969.908.208),,-14969908208.0,-14969908208.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,5.417.853.001,1.960.625.891,7.378.478.892,5417853001.0,1960625891.0,7378478892.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.417.853.001,975.407.541,6.393.260.542,5417853001.0,975407541.0,6393260542.0
