row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,551.227.980.000,36.047.891.246,765.535.152.633,378.345.954.664,338.921.173.442,2.070.078.151.985,551227980000.0,36047891246.0,765535152633.0,378345954664.0,338921173442.0,2070078151985.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,239.706.451.474,56.697.988.875,296.404.440.349,,,,239706451474.0,56697988875.0,296404440349.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,31.086.410.523,(31.086.410.523),-,-,,,31086410523.0,-31086410523.0,,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(23.000.000.000),-,(23.000.000.000),,,,-23000000000.0,,-23000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(148.831.554.600),(21.652.825.000),(170.484.379.600),,,,-148831554600.0,-21652825000.0,-170484379600.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.300.000.000),-,(2.300.000.000),,,,-2300000000.0,,-2300000000.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,551.227.980.000,36.047.891.246,796.621.563.156,412.834.441.015,373.966.337.317,2.170.698.212.734,551227980000.0,36047891246.0,796621563156.0,412834441015.0,373966337317.0,2170698212734.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,349.944.708.596,63.857.829.233,413.802.537.829,,,,349944708596.0,63857829233.0,413802537829.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,29.466.887.961,(29.466.887.961),-,-,,,29466887961.0,-29466887961.0,,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 15) (*)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 15) (*)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 15) (*)",-,-,-,(23.000.000.000),-,(23.000.000.000),,,,-23000000000.0,,-23000000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,(2.300.000.000),-,(2.300.000.000),,,,-2300000000.0,,-2300000000.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(27.561.399.000),(38.627.000.000),(66.188.399.000),,,,-27561399000.0,-38627000000.0,-66188399000.0
Tạm ứng cổ tức năm 2021 (**),Tạm ứng cổ tức năm 2021 (**),Tạm ứng cổ tức năm 2021 (**),-,-,-,(27.561.399.000),(18.265.000.000),(45.826.399.000),,,,-27561399000.0,-18265000000.0,-45826399000.0
Góp vốn bằng tiền mặt (***),Góp vốn bằng tiền mặt (***),Góp vốn bằng tiền mặt (***),549.053.560.000,-,-,-,-,549.053.560.000,549053560000.0,,,,,549053560000.0
Khác,Khác,Khác,-,94.000.000,-,7.075.973.255,(7.281.618.255),(111.645.000),,94000000.0,,7075973255.0,-7281618255.0,-111645000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.100.281.540.000,36.141.891.246,826.088.451.117,659.965.436.905,373.650.548.295,2.996.127.867.563,1100281540000.0,36141891246.0,826088451117.0,659965436905.0,373650548295.0,2996127867563.0
