row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021,Tại ngày 31/12/2021_1,Tại ngày 31/12/2021_2,Tại ngày 31/12/2021_3,Tại ngày 31/12/2021_4,numeric__Tại ngày 31/12/2021,numeric__Tại ngày 31/12/2021_1,numeric__Tại ngày 31/12/2021_2,numeric__Tại ngày 31/12/2021_3,numeric__Tại ngày 31/12/2021_4
,,,Hoạt độngbốc dỡ containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",Hoạt độngvận chuyểnVND,KhácVND,Tổng cộngVND,,,,,
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,509.585.675.678,81.199.409.638,245.926.776.370,185.037.944.052,1.021.749.805.738,509585675678.0,81199409638.0,245926776370.0,185037944052.0,1021749805738.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,2.244.670.635.424,,,,,2244670635424.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,3.266.420.441.162,,,,,3266420441162.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,40.175.967.134,6.401.798.497,19.388.979.236,14.588.475.920,80.555.220.787,40175967134.0,6401798497.0,19388979236.0,14588475920.0,80555220787.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,,189.737.352.812,,,,,189737352812.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,270.292.573.599,,,,,270292573599.0
,,,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,,,,,
,,,Hoạt độngbốc dỡ containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",Hoạt độngvận chuyểnVND,KhácVND,Tổng cộngVND,,,,,
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,672.315.315.287,153.920.186.165,213.459.325.357,134.501.081.436,1.174.195.908.245,672315315287.0,153920186165.0,213459325357.0,134501081436.0,1174195908245.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,1.283.948.573.723,,,,,1283948573723.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,2.458.144.481.968,,,,,2458144481968.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,45.763.799.048,6.575.140.557,26.615.053.943,27.814.852.191,106.768.845.739,45763799048.0,6575140557.0,26615053943.0,27814852191.0,106768845739.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,,180.677.423.495,,,,,180677423495.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,287.446.269.234,,,,,287446269234.0
