row_label_raw,row_label_full,Ông Nguyễn Việt Hòa,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên,
Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Thành viên,
Ông Trần Quang Tiến,Ông Trần Quang Tiến,Ông Trần Quang Tiến,Thành viên(bổ nhiệm ngày 22/9/2021),
Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Thành viên(bổ nhiệm ngày 26/3/2021),
Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Thành viên(bổ nhiệm ngày 26/3/2021),
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Thành viên(bổ nhiệm ngày 26/3/2021),
Ông Nguyễn Văn Tiến,Ông Nguyễn Văn Tiến,Ông Nguyễn Văn Tiến,Thành viên(từ nhiệm ngày 15/9/2021),
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Thành viên(từ nhiệm ngày 8/9/2021),
Ông Nguyễn Thế Duy,Ông Nguyễn Thế Duy,Ông Nguyễn Thế Duy,Thành viên(từ nhiệm ngày 2/7/2021),
Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Thành viên(từ nhiệm ngày 26/3/2021),
Ông Nghiêm Tuấn Anh,Ông Nghiêm Tuấn Anh,Ông Nghiêm Tuấn Anh,Thành viên(từ nhiệm ngày 26/3/2021),
Bà Đăng Trần Gia Thoại,Bà Đăng Trần Gia Thoại,Bà Đăng Trần Gia Thoại,Thành viên(từ nhiệm ngày 26/3/2021),
