row_label_raw,row_label_full,col_0,col_1,Tại ngày31/12/2020VND,Số phát sinhtrong nămVND,Số đã được hoàntrong nămVND,Cán trừtrong nămVND,Biến động khácVND,Tại ngày31/12/2021VND,numeric__col_1,numeric__Tại ngày31/12/2020VND,numeric__Số phát sinhtrong nămVND,numeric__Số đã được hoàntrong nămVND,numeric__Cán trừtrong nămVND,numeric__Biến động khácVND,numeric__Tại ngày31/12/2021VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,81.745.639.134,115.076.201.527,(13.314.345.328),(116.193.153.938),(14.728.380.801),52.585.960.594,,81745639134.0,115076201527.0,-13314345328.0,-116193153938.0,-14728380801.0,52585960594.0
(a),(a) > (a),(a),Thuế thu nhập cá nhân,798.450.736,-,-,(4.030.133),(794.420.603),-,,798450736.0,,,-4030133.0,-794420603.0,
(a),(a) > (a),(a),Thuế TNDN,-,-,-,-,1.241.381.251,1.241.381.251,,,,,,1241381251.0,1241381251.0
(a),(a) > (a),(a),,82.544.089.870,115.076.201.527,(13.314.345.328),(116.197.184.071),(14.281.420.153),53.827.341.845,,82544089870.0,115076201527.0,-13314345328.0,-116197184071.0,-14281420153.0,53827341845.0
(a),(a),(a),,Tại ngày31/12/2020VND,Số phải nộp phátsinh trong nămVND,Số đã thực nộptrong nămVND,Cán trừtrong nămVND,Biến động khácVND,Tại ngày31/12/2021VND,,,,,,,
(b),(b),(b),Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,,,,
(b),(b) > (b),(b),Thuế GTGT phải nộp,3.226.308.713,152.898.710.111,(36.665.675.904),(116.193.153.938),-,3.266.188.982,,3226308713.0,152898710111.0,-36665675904.0,-116193153938.0,,3266188982.0
(b),(b) > (b),(b),Thuế TNDN,17.470.919.892,68.761.169.702,(69.018.392.505),-,1.286.033.010,18.499.730.099,,17470919892.0,68761169702.0,-69018392505.0,,1286033010.0,18499730099.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,1.109.376.846,7.488.936.283,(6.088.716.556),(4.030.133),(721.240.893),1.784.325.547,,1109376846.0,7488936283.0,-6088716556.0,-4030133.0,-721240893.0,1784325547.0
(b),(b) > (b),(b),Thuế và các khoản phàinộp Nhà nước khác,823.179.387,18.074.603.477,(17.530.456.744),-,-,1.367.326.120,,823179387.0,18074603477.0,-17530456744.0,,,1367326120.0
(b),(b) > (b),(b),,22.629.784.838,247.223.419.573,(129.303.241.709),(116.197.184.071),564.792.117,24.917.570.748,,22629784838.0,247223419573.0,-129303241709.0,-116197184071.0,564792117.0,24917570748.0
