row_label_raw,row_label_full,i),Phải thu ngắn hạn của khách hàng (Thuyết minh 4) > Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),31/12/2021VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4) > 18.920.464.508,31/12/2020VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4) > 28.286.504.492,numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 4) > Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),numeric__31/12/2021VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4) > 18.920.464.508,numeric__31/12/2020VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4) > 28.286.504.492
i),i),i),Công ty TNHH Tuyên Container T.S. Hà Nội,6.381.808.184,5.014.396.844,,6381808184.0,5014396844.0
i),i),i),Công ty Cổ phần Logistics Cắng Đà Nẵng,412.174.700,574.117.500,,412174700.0,574117500.0
i),i),i),,25.714.447.392,33.875.018.836,,25714447392.0,33875018836.0
ii),ii),ii),Phải trả người bán ngắn hạn (Thuyết minh 10),Phải trả người bán ngắn hạn (Thuyết minh 10),Phải trả người bán ngắn hạn (Thuyết minh 10),,,
ii),ii) > ii),ii),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,826.477.329,30.077.569.570,,826477329.0,30077569570.0
ii),ii) > ii),ii),Công ty Cổ phần Cảng Logistics Đà Nẵng,92.359.000,24.605.000,,92359000.0,24605000.0
ii),ii) > ii),ii),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),836.494.196,288.487.200,,836494196.0,288487200.0
ii),ii) > ii),ii),,1.755.330.525,30.390.661.770,,1755330525.0,30390661770.0
