row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,824.412.932.857,90.285.151.586,1.315.295.446.325,17.144.231.689,2.247.137.762.457,824412932857.0,90285151586.0,1315295446325.0,17144231689.0,2247137762457.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,14.713.845.455,3.883.709.000,70.329.525.682,1.075.681.818,90.002.761.955,14713845455.0,3883709000.0,70329525682.0,1075681818.0,90002761955.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.808.498.715),-,(28.240.145.707),(486.232.402),(30.534.876.824),-1808498715.0,,-28240145707.0,-486232402.0,-30534876824.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,837.318.279.597,94.168.860.586,1.357.384.826.300,17.733.681.105,2.306.605.647.588,837318279597.0,94168860586.0,1357384826300.0,17733681105.0,2306605647588.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(418.754.132.005),(57.956.992.900),(841.768.923.176),(14.450.458.773),(1.332.930.506.854),-418754132005.0,-57956992900.0,-841768923176.0,-14450458773.0,-1332930506854.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(55.703.301.153),(9.517.014.357),(132.785.893.186),(1.412.930.220),(199.419.138.916),-55703301153.0,-9517014357.0,-132785893186.0,-1412930220.0,-199419138916.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.808.498.715,-,27.935.617.383,486.232.402,30.230.348.500,1808498715.0,,27935617383.0,486232402.0,30230348500.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(472.648.934.443),(67.474.007.257),(946.619.198.979),(15.377.156.591),(1.502.119.297.270),-472648934443.0,-67474007257.0,-946619198979.0,-15377156591.0,-1502119297270.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,405.658.800.852,32.328.158.686,473.526.523.149,2.693.772.916,914.207.255.603,405658800852.0,32328158686.0,473526523149.0,2693772916.0,914207255603.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,364.669.345.154,26.694.853.329,410.765.627.321,2.356.524.514,804.486.350.318,364669345154.0,26694853329.0,410765627321.0,2356524514.0,804486350318.0
