row_label_raw,row_label_full,Số dư đầu năm,31/12/2021VND > 521.358.947.600,31/12/2020VND > 557.118.964.572,numeric__31/12/2021VND > 521.358.947.600,numeric__31/12/2020VND > 557.118.964.572
Tăng,Tăng,Tăng,8.489.349.274,7.958.697.092,8489349274.0,7958697092.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(28.046.100.714),(42.360.813.401),-28046100714.0,-42360813401.0
Thanh lý,Thanh lý,Thanh lý,-,(1.357.900.663),,-1357900663.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,501.802.196.160,521.358.947.600,501802196160.0,521358947600.0
