row_label_raw,row_label_full,col_0,2015VND,2014VNDPhân loại lại,numeric__2015VND,numeric__2014VNDPhân loại lại
Vận chuyển hành khách,Vận chuyển hành khách,Vận chuyển hành khách,Vận chuyển hành khách,Vận chuyển hành khách,,
▪ Nội địa,Vận chuyển hành khách > ▪ Nội địa,▪ Nội địa,6.724.682.633.020,5.151.413.715.086,6724682633020.0,5151413715086.0
▪ Quốc tế,Vận chuyển hành khách > ▪ Quốc tế,▪ Quốc tế,481.252.164.219,178.365.106.648,481252164219.0,178365106648.0
▪ Cho thuê chuyển bay,Vận chuyển hành khách > ▪ Cho thuê chuyển bay,▪ Cho thuê chuyển bay,1.336.803.281.353,411.744.583.218,1336803281353.0,411744583218.0
,,,8.542.738.078.592,5.741.523.404.952,8542738078592.0,5741523404952.0
Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,,
▪ Phí hoạt động phụ trợ,Doanh thu hoạt động phụ trợ > ▪ Phí hoạt động phụ trợ,▪ Phí hoạt động phụ trợ,1.816.668.879.706,835.940.530.471,1816668879706.0,835940530471.0
▪ Hàng hóa trong chuyển bay,Doanh thu hoạt động phụ trợ > ▪ Hàng hóa trong chuyển bay,▪ Hàng hóa trong chuyển bay,71.392.199.442,46.658.580.917,71392199442.0,46658580917.0
,,,1.888.061.079.148,882.599.111.388,1888061079148.0,882599111388.0
Vận chuyển hàng hóa,Vận chuyển hàng hóa,Vận chuyển hàng hóa,Vận chuyển hàng hóa,Vận chuyển hàng hóa,,
▪ Nội địa,Vận chuyển hàng hóa > ▪ Nội địa,▪ Nội địa,394.595.031.856,258.772.695.898,394595031856.0,258772695898.0
▪ Quốc tế,Vận chuyển hàng hóa > ▪ Quốc tế,▪ Quốc tế,89.692.818.845,40.625.845.098,89692818845.0,40625845098.0
,,,484.287.850.701,299.398.540.996,484287850701.0,299398540996.0
Doanh thu từ cho thuê máy bay,Vận chuyển hàng hóa > Doanh thu từ cho thuê máy bay,Doanh thu từ cho thuê máy bay,56.800.800.000,10.953.627.104,56800800000.0,10953627104.0
Doanh thu từ quảng cáo,Vận chuyển hàng hóa > Doanh thu từ quảng cáo,Doanh thu từ quảng cáo,15.716.521.968,3.822.075.002,15716521968.0,3822075002.0
Doanh thu khác,Vận chuyển hàng hóa > Doanh thu khác,Doanh thu khác,25.292.438.725,8.175.845.128,25292438725.0,8175845128.0
,,,11.012.896.769.134,6.946.472.604.570,11012896769134.0,6946472604570.0
