row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Phân loại lại
Tài sản dài hạn\( (200 = 210 + 220 + 240 + 250 + 260) \),Tài sản dài hạn\( (200 = 210 + 220 + 240 + 250 + 260) \),Tài sản dài hạn\( (200 = 210 + 220 + 240 + 250 + 260) \),200,,5.782.128.440.336,3.451.746.636.625,200.0,,5782128440336.0,3451746636625.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,2.878.827.251.640,1.386.303.955.978,210.0,,2878827251640.0,1386303955978.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,10(b),2.878.827.251.640,1.386.303.955.978,216.0,,2878827251640.0,1386303955978.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,28.481.913.002,32.597.260.866,220.0,,28481913002.0,32597260866.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,17.678.134.293,19.869.220.180,221.0,12.0,17678134293.0,19869220180.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,39.540.258.620,36.306.985.540,222.0,,39540258620.0,36306985540.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(21.862.124.327),(16.437.765.360),223.0,,-21862124327.0,-16437765360.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,10.803.778.709,12.728.040.686,227.0,13.0,10803778709.0,12728040686.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,25.921.451.251,23.193.846.174,228.0,,25921451251.0,23193846174.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(15.117.672.542),(10.465.805.488),229.0,,-15117672542.0,-10465805488.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,131.379.001.816,146.099.277.427,240.0,,131379001816.0,146099277427.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,14,131.379.001.816,146.099.277.427,242.0,14.0,131379001816.0,146099277427.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,17.424.629.818,20.824.629.818,250.0,,17424629818.0,20824629818.0
Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,251,6(b),9.000.000.000,12.400.000.000,251.0,,9000000000.0,12400000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,6(b),7.868.448.000,7.868.448.000,253.0,,7868448000.0,7868448000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,6(c),556.181.818,556.181.818,255.0,,556181818.0,556181818.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,2.726.015.644.060,1.865.921.512.536,260.0,,2726015644060.0,1865921512536.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,15(b),2.726.015.644.060,1.865.921.512.536,261.0,,2726015644060.0,1865921512536.0
TỔNG TÀI SẢN\( (270 = 100 + 200) \),TỔNG TÀI SẢN\( (270 = 100 + 200) \),TỔNG TÀI SẢN\( (270 = 100 + 200) \),270,,12.022.531.916.165,7.688.421.802.308,270.0,,12022531916165.0,7688421802308.0
