row_label_raw,row_label_full,col_0,31/12/2015VND,1/1/2015VNDPhân loại lại,numeric__31/12/2015VND,numeric__1/1/2015VNDPhân loại lại
Đặt cọc mua máy bay,Đặt cọc mua máy bay,Đặt cọc mua máy bay,3.020.517.186.184,2.090.704.839.109,3020517186184.0,2090704839109.0
Quỹ bảo dưỡng cho máy bay thuê,Quỹ bảo dưỡng cho máy bay thuê,Quỹ bảo dưỡng cho máy bay thuê,320.326.400.008,585.012.877.008,320326400008.0,585012877008.0
Chi phí chi hộ cho các bên liên quan,Chi phí chi hộ cho các bên liên quan,Chi phí chi hộ cho các bên liên quan,170.237.634.312,54.510.379.696,170237634312.0,54510379696.0
"Phí tư vấn trả trước cho Công ty Cổ phần Sovico, một cổ đông","Phí tư vấn trả trước cho Công ty Cổ phần Sovico, một cổ đông","Phí tư vấn trả trước cho Công ty Cổ phần Sovico, một cổ đông",6.701.877.729,11.637.322.529,6701877729.0,11637322529.0
Lãi phải thu,Lãi phải thu,Lãi phải thu,52.122.365.334,15.612.222.223,52122365334.0,15612222223.0
Phải thu sửa chữa khoang máy bay,Phải thu sửa chữa khoang máy bay,Phải thu sửa chữa khoang máy bay,39.987.259.744,31.912.828.840,39987259744.0,31912828840.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,48.342.981.996,28.127.219.943,48342981996.0,28127219943.0
Đặt cọc thuê văn phòng cho một bên liên quan,Đặt cọc thuê văn phòng cho một bên liên quan,Đặt cọc thuê văn phòng cho một bên liên quan,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Các khoản đặt cọc khác,Các khoản đặt cọc khác,Các khoản đặt cọc khác,17.854.259.318,4.251.907.900,17854259318.0,4251907900.0
Phải thu khác,Phải thu khác,Phải thu khác,9.277.471.241,27.961.986.666,9277471241.0,27961986666.0
,,,3.695.367.435.866,2.859.731.583.914,3695367435866.0,2859731583914.0
