row_label_raw,row_label_full,col_0,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.051.533.245,14.042.934.488,12.212.517.807,36.306.985.540,10051533245.0,14042934488.0,12212517807.0,36306985540.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.798.429.091,626.218.364,843.080.170,3.267.727.625,1798429091.0,626218364.0,843080170.0,3267727625.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(34.454.545),-,(34.454.545),,-34454545.0,,-34454545.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.849.962.336,14.634.698.307,13.055.597.977,39.540.258.620,11849962336.0,14634698307.0,13055597977.0,39540258620.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.964.752.366,8.512.389.758,2.960.623.236,16.437.765.360,4964752366.0,8512389758.0,2960623236.0,16437765360.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.947.096.149,1.447.225.156,2.048.413.420,5.442.734.725,1947096149.0,1447225156.0,2048413420.0,5442734725.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(18.375.758),-,(18.375.758),,-18375758.0,,-18375758.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.911.848.515,9.941.239.156,5.009.036.656,21.862.124.327,6911848515.0,9941239156.0,5009036656.0,21862124327.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.086.780.879,5.530.544.730,9.251.894.571,19.869.220.180,5086780879.0,5530544730.0,9251894571.0,19869220180.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.938.113.821,4.693.459.151,8.046.561.321,17.678.134.293,4938113821.0,4693459151.0,8046561321.0,17678134293.0
