row_label_raw,row_label_full,"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(123.930.206.389),(168.318.217.407),numeric__21,numeric__(123.930.206.389),numeric__(168.318.217.407)
Tiền chi đặt cọc mua máy bay,Tiền chi đặt cọc mua máy bay,Tiền chi đặt cọc mua máy bay,21,(1.048.612.463.176),(2.528.070.546.526),21.0,-1048612463176.0,-2528070546526.0
Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,-,28.620.000,22.0,,28620000.0
"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua các công cụ nợ của các đơn vịkhác","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua các công cụ nợ của các đơn vịkhác","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua các công cụ nợ của các đơn vịkhác",23,-,(270.556.181.818),23.0,,-270556181818.0
Tiền thu từ tiền gửi có kỳ hạn vàhợp đồng hợp tác đầu tư,Tiền thu từ tiền gửi có kỳ hạn vàhợp đồng hợp tác đầu tư,Tiền thu từ tiền gửi có kỳ hạn vàhợp đồng hợp tác đầu tư,24,-,249.681.666.667,24.0,,249681666667.0
Tiền chi đầu tư góp vốn vào cácđơn vị khác,Tiền chi đầu tư góp vốn vào cácđơn vị khác,Tiền chi đầu tư góp vốn vào cácđơn vị khác,25,-,(20.268.448.000),25.0,,-20268448000.0
Tiền thu lãi tiền gửi và cho vay,Tiền thu lãi tiền gửi và cho vay,Tiền thu lãi tiền gửi và cho vay,27,10.191.635.989,11.237.062.752,27.0,10191635989.0,11237062752.0
Lưu chuyển tiền thuần từ các hoạtđộng đầu tư,Lưu chuyển tiền thuần từ các hoạtđộng đầu tư,Lưu chuyển tiền thuần từ các hoạtđộng đầu tư,30,(1.162.351.033.576),(2.726.266.044.332),30.0,-1162351033576.0,-2726266044332.0
