row_label_raw,row_label_full,Công ty,Nơi thành lập,Giấy phépKinh doanh,Hoạt động chính,numeric__Nơi thành lập,numeric__Giấy phépKinh doanh,numeric__Hoạt động chính
Các công ty con Công ty Cổ phần Vietjet Air Cargo,Các công ty con Công ty Cổ phần Vietjet Air Cargo,Các công ty con Công ty Cổ phần Vietjet Air Cargo,Việt Nam,Số 0312759089 ngày 2 / tháng 8 năm 2014,Cung cấp các dịch vụ hỗ trợ liên quan đến vận chuyển hàng hóa,,,
Vietjet Air IVB No. I Limited (***),Vietjet Air IVB No. I Limited (***),Vietjet Air IVB No. I Limited (***),Quần đảo British Virgin,Số 1825671 ngày 27 tháng 5 năm 2014,Kinh doanh máy bay.,,,
Vietjet Air IVB No. II Limited (***),Vietjet Air IVB No. II Limited (***),Vietjet Air IVB No. II Limited (***),Quần đảo British Virgin,Số 1825613 ngày 27 tháng 5 năm 2014,Kinh doanh máy bay.,,,
Vietjet Air Singapore Pte. Ltd. (***),Vietjet Air Singapore Pte. Ltd. (***),Vietjet Air Singapore Pte. Ltd. (***),Singapore,Số 201408849N ngày 27 tháng 3 năm 2014,Kinh doanh máy bay.,,,
Vietjet Air Ireland No. 1 Limited (***),Vietjet Air Ireland No. 1 Limited (***),Vietjet Air Ireland No. 1 Limited (***),Ireland,Số 544879 ngày 3 tháng 6 năm 2014,Kinh doanh máy bay.,,,
Công ty liên kết Thai VietJet Air Join Stock Company Limited (***),Công ty liên kết Thai VietJet Air Join Stock Company Limited (***),Công ty liên kết Thai VietJet Air Join Stock Company Limited (***),Thái Lan,Số 0105556100551 ngày 25 tháng 6 năm 2013,"Cung cấp dịch vụ vận chuyển và chuyển giao hàng hóa và hành khách, tổ chức các chuyển đi du lịch và các dịch vụ liên quan khác.",,,
