row_label_raw,row_label_full,col_0,Giá trịghi sốVND,Dòng tiền theo hợp đồngVND,Trong vòng1 nămVND,numeric__Giá trịghi sốVND,numeric__Dòng tiền theo hợp đồngVND,numeric__Trong vòng1 nămVND
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,329.462.482.640,329.462.482.640,329.462.482.640,329462482640.0,329462482640.0,329462482640.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,154.335.731.691,154.335.731.691,154.335.731.691,154335731691.0,154335731691.0,154335731691.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,740.499.016.974,740.499.016.974,740.499.016.974,740499016974.0,740499016974.0,740499016974.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.602.248.050.994,2.619.815.197.926,2.619.815.197.926,2602248050994.0,2619815197926.0,2619815197926.0
,,,3.826.545.282.299,3.844.112.429.231,3.844.112.429.231,3826545282299.0,3844112429231.0,3844112429231.0
