row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VNDPhân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VNDPhân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,6.240.403.475.829,4.236.675.165.683,100.0,,6240403475829.0,4236675165683.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,894.104.824.858,521.978.179.042,110.0,5.0,894104824858.0,521978179042.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,244.104.824.858,121.978.179.042,111.0,,244104824858.0,121978179042.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,650.000.000.000,400.000.000.000,112.0,,650000000000.0,400000000000.0
Dầu tư tài chính ngắn hạn,TÀI SẢN > Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,120,,270.000.000.000,270.000.000.000,120.0,,270000000000.0,270000000000.0
Công cụ tài chính kinh douthi,TÀI SẢN > Công cụ tài chính kinh douthi,Công cụ tài chính kinh douthi,121,6(a),270.000.000.000,270.000.000.000,121.0,,270000000000.0,270000000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,4.709.299.034.973,3.266.539.797.577,130.0,,4709299034973.0,3266539797577.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,647.215.638.730,50.657.738.930,131.0,7.0,647215638730.0,50657738930.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,8,334.715.960.377,354.150.474.733,132.0,8.0,334715960377.0,354150474733.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9,32.000.000.000,2.000.000.000,135.0,9.0,32000000000.0,2000000000.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10(a),3.695.367.435.866,2.859.731.583.914,136.0,,3695367435866.0,2859731583914.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,11,164.428.122.872,93.408.347.176,140.0,11.0,164428122872.0,93408347176.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,202.571.493.126,84.748.841.888,150.0,,202571493126.0,84748841888.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,15(a),202.571.493.126,68.873.656.712,151.0,,202571493126.0,68873656712.0
Thuế phải thu Nhà nước,TÀI SẢN > Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,153,18(b),-,15.875.185.176,153.0,,,15875185176.0
