row_label_raw,row_label_full,col_0,1/1/2015(phân loại lại)VND,1/1/2015(theo báo cáotrước đây)VND,numeric__1/1/2015(phân loại lại)VND,numeric__1/1/2015(theo báo cáotrước đây)VND
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,,
Phải thu ngắn hạn khác,Tài sản ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.859.731.583.914,143.635.189.954,2859731583914.0,143635189954.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,2.818.096.393.960,,2818096393960.0
Phải thu về cho vay ngắn hạn,Tài sản ngắn hạn > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,2.000.000.000,-,2000000000.0,
Trả trước cho người bán ngắn hạn,Tài sản ngắn hạn > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,354.150.474.733,254.150.474.733,354150474733.0,254150474733.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,,
Phải thu dài hạn khác,Tài sản dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,1.386.303.955.978,-,1386303955978.0,
Tài sản dài hạn khác,Tài sản dài hạn > Tài sản dài hạn khác,Tài sản dài hạn khác,-,1.386.303.955.978,,1386303955978.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,,
Doanh thu chưa thực hiện ngắn hạn,Nợ ngắn hạn > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,230.717.936.745,-,230717936745.0,
Phải trả ngắn hạn khác,Nợ ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,740.499.016.974,971.216.953.719,740499016974.0,971216953719.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,,
Nợ dài hạn khác,Nợ dài hạn > Nợ dài hạn khác,Nợ dài hạn khác,-,5.800.000.000,,5800000000.0
Phải trả dài hạn khác,Nợ dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,5.800.000.000,-,5800000000.0,
