row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,267.408.028.099,70.662.025.700,1.500.909.664,339.570.963.463,267408028099.0,70662025700.0,1500909664.0,339570963463.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.312.010.500,-,2.312.010.500,,2312010500.0,,2312010500.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,2.305.493.215,-,2.305.493.215,,2305493215.0,,2305493215.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,(1.193.188.000),(1.193.188.000),,,-1193188000.0,-1193188000.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(5.888.788.763),-,5.888.788.763,-,-5888788763.0,,5888788763.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,261.519.239.336,75.279.529.415,6.196.510.427,342.995.279.178,261519239336.0,75279529415.0,6196510427.0,342995279178.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,41.683.157.547,27.015.412.996,1.500.909.664,70.199.480.207,41683157547.0,27015412996.0,1500909664.0,70199480207.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.490.134.946,15.505.642.834,155.906.597,20.151.684.377,4490134946.0,15505642834.0,155906597.0,20151684377.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,(1.193.188.000),(1.193.188.000),,,-1193188000.0,-1193188000.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(3.280.896.654),-,3.280.896.654,-,-3280896654.0,,3280896654.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,42.892.395.839,42.521.055.830,3.744.524.915,89.157.976.584,42892395839.0,42521055830.0,3744524915.0,89157976584.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,225.724.870.552,43.646.612.704,-,269.371.483.256,225724870552.0,43646612704.0,,269371483256.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,218.626.843.497,32.758.473.585,2.451.985.512,253.837.302.594,218626843497.0,32758473585.0,2451985512.0,253837302594.0
