row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,27.610.741.150.000,3.211.560.416.270,565.534.994,923.641.612.156,15.876.913.750.948,163.213.679.327,47.786.636.143.695,27610741150000.0,3211560416270.0,565534994.0,923641612156.0,15876913750948.0,163213679327.0,47786636143695.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,2.700.000.000,2.700.000.000,,,,,,2700000000.0,2700000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,13.450.300.052.812,55.864.004.095,13.506.164.056.907,,,,,13450300052812.0,55864004095.0,13506164056907.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 28),Trả cổ tức bằng cổ phiếu (Thuyết minh 28),Trả cổ tức bằng cổ phiếu (Thuyết minh 28),5.522.085.440.000,-,-,-,(5.522.085.440.000),-,-,5522085440000.0,,,,-5522085440000.0,,
Trả cổ tức bằng tiền (Thuyết minh 28),Trả cổ tức bằng tiền (Thuyết minh 28),Trả cổ tức bằng tiền (Thuyết minh 28),-,-,-,-,(1.380.537.057.500),-,(1.380.537.057.500),,,,,-1380537057500.0,,-1380537057500.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(656.005.712.957),(996.306.833),(657.002.019.790),,,,,-656005712957.0,-996306833.0,-657002019790.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,5.000.000.000,(3.636.000.000),(1.364.000.000),-,,,,5000000000.0,-3636000000.0,-1364000000.0,
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,(43.091.147.177),(43.091.147.177),,,,,,-43091147177.0,-43091147177.0
Ảnh hưởng của việc chuyểnđối đồng tiền báo cáo,Ảnh hưởng của việc chuyểnđối đồng tiền báo cáo,Ảnh hưởng của việc chuyểnđối đồng tiền báo cáo,-,-,5.002.834.078,-,-,-,5.002.834.078,,,5002834078.0,,,,5002834078.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,27.493.039.982,(27.579.544.084),(86.504.102),,,,,27493039982.0,-27579544084.0,-86504102.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,33.132.826.590.000,3.211.560.416.270,5.568.369.072,928.641.612.156,21.792.442.633.285,148.746.685.328,59.219.786.306.111,33132826590000.0,3211560416270.0,5568369072.0,928641612156.0,21792442633285.0,148746685328.0,59219786306111.0
