row_label_raw,row_label_full,31/12/2020,31/12/2020_1,31/12/2020_2,31/12/2020_3,31/12/2020_4,31/12/2020_5,numeric__31/12/2020_1,numeric__31/12/2020_2,numeric__31/12/2020_3,numeric__31/12/2020_4,numeric__31/12/2020_5
,,,USD,EUR,AUD,,,,,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,15.264.410,2.172,2.659.395,,,15264410.0,2172.0,2659395.0,,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,32.881.352,-,65.238,,,32881352.0,,65238.0,,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,-,23.918,,,,,23918.0,,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,-,300.000,,,,,300000.0,,
Phải trả người bán,Phải trả người bán,Phải trả người bán,(350.339.542),(21.323.019),-,,,-350339542.0,-21323019.0,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(308.310.002),-,-,,,-308310002.0,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,(184.615.385),-,-,,,-184615385.0,,,,
,,,(795.119.167),(21.320.847),3.048.551,,,-795119167.0,-21320847.0,3048551.0,,
1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,,,,,
,,,USD,EUR,AUD,JPY,CNY,,,,,
Tiền và các khoản tương đương tiền,1/1/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,19.286.141,1.922,417.914,3.465.300,-,19286141.0,1922.0,417914.0,3465300.0,
Phải thu ngắn hạn của khách hàng,1/1/2020 > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,13.335.794,-,5.868,-,-,13335794.0,,5868.0,,
Phải trả người bán,1/1/2020 > Phải trả người bán,Phải trả người bán,(253.611.805),(38.585.799),-,-,(411.442),-253611805.0,-38585799.0,,,-411442.0
Vay ngắn hạn,1/1/2020 > Vay ngắn hạn,Vay ngắn hạn,(72.892.904),-,-,-,-,-72892904.0,,,,
Vay dài hạn,1/1/2020 > Vay dài hạn,Vay dài hạn,(200.000.000),-,-,-,-,-200000000.0,,,,
,,,(493.882.774),(38.583.877),423.782,3.465.300,(411.442),-493882774.0,-38583877.0,423782.0,3465300.0,-411442.0
