row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,"Chi phí đại tu, sửa chữa lớn VND",Chi phí đất trả trước VND,Chi phí giải phóng mặt bằng VND,Chi phí trước hoạt động VND,Chi phí trả trước khác VND,Tổng cộng VND,numeric__Công cụ và dụng cụ VND,"numeric__Chi phí đại tu, sửa chữa lớn VND",numeric__Chi phí đất trả trước VND,numeric__Chi phí giải phóng mặt bằng VND,numeric__Chi phí trước hoạt động VND,numeric__Chi phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,125.987.492.909,279.843.134.786,774.566.962.748,231.816.052.559,113.611.568.905,124.913.411.183,1.650.738.623.090,125987492909.0,279843134786.0,774566962748.0,231816052559.0,113611568905.0,124913411183.0,1650738623090.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,82.997.332.571,112.642.168.108,-,4.464.093.500,1.959.660.404,118.003.238.573,320.066.493.156,82997332571.0,112642168108.0,,4464093500.0,1959660404.0,118003238573.0,320066493156.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,20.533.309.213,68.665.082.327,23.747.408.457,81.306.811.244,14.920.072.008,38.799.380.328,247.972.063.577,20533309213.0,68665082327.0,23747408457.0,81306811244.0,14920072008.0,38799380328.0,247972063577.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(64.115.268.797),-,-,-,-,(64.115.268.797),,-64115268797.0,,,,,-64115268797.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,-,-,(30.540.046.953),(30.540.046.953),,,,,,-30540046953.0,-30540046953.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(96.295.460.391),(210.484.887.940),(21.700.774.437),(14.570.172.962),(48.771.912.853),(85.915.914.526),(477.739.123.109),-96295460391.0,-210484887940.0,-21700774437.0,-14570172962.0,-48771912853.0,-85915914526.0,-477739123109.0
Thanh lý và xóa số,Thanh lý và xóa số,Thanh lý và xóa số,(53.707.500),-,-,-,-,-,(53.707.500),-53707500.0,,,,,,-53707500.0
Phân loại lại,Phân loại lại,Phân loại lại,199.869.331,1.118.537.940,-,(456.163.837),59.984.295,(922.227.729),-,199869331.0,1118537940.0,,-456163837.0,59984295.0,-922227729.0,
Biến động khác,Biến động khác,Biến động khác,-,-,-,(234.515.000),-,-,(234.515.000),,,,-234515000.0,,,-234515000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,133.368.836.133,187.668.766.424,776.613.596.768,302.326.105.504,81.779.372.759,164.337.840.876,1.646.094.518.464,133368836133.0,187668766424.0,776613596768.0,302326105504.0,81779372759.0,164337840876.0,1646094518464.0
