row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,21.239.071.660.000,3.211.560.416.270,276.819.257,918.641.612.156,15.126.437.863.905,126.961.469.222,40.622.949.840.810,21239071660000.0,3211560416270.0,276819257.0,918641612156.0,15126437863905.0,126961469222.0,40622949840810.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,85.000.000,85.000.000,,,,,,85000000.0,85000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,7.527.442.867.874,50.805.368.355,7.578.248.236.229,,,,,7527442867874.0,50805368355.0,7578248236229.0
Trả cổ tức bằng cổ phiếu(Thuyết minh 28),Trả cổ tức bằng cổ phiếu(Thuyết minh 28),Trả cổ tức bằng cổ phiếu(Thuyết minh 28),6.371.669.490.000,-,-,-,(6.371.669.490.000),-,-,6371669490000.0,,,,-6371669490000.0,,
"Phân bổ vào quỹ khen thưởng,phúc lợi","Phân bổ vào quỹ khen thưởng,phúc lợi","Phân bổ vào quỹ khen thưởng,phúc lợi",-,-,-,-,(399.055.995.494),-,(399.055.995.494),,,,,-399055995494.0,,-399055995494.0
Phân bổ vào quỹ đầu tưphát triển,Phân bổ vào quỹ đầu tưphát triển,Phân bổ vào quỹ đầu tưphát triển,-,-,-,5.000.000.000,(5.000.000.000),-,-,,,,5000000000.0,-5000000000.0,,
Công ty con trả cổ tức cho cổđông không kiểm soát,Công ty con trả cổ tức cho cổđông không kiểm soát,Công ty con trả cổ tức cho cổđông không kiểm soát,-,-,-,-,-,(14.638.158.250),(14.638.158.250),,,,,,-14638158250.0,-14638158250.0
Ảnh hưởng của việc chuyểnđời đồng tiền báo cáo,Ảnh hưởng của việc chuyểnđời đồng tiền báo cáo,Ảnh hưởng của việc chuyểnđời đồng tiền báo cáo,-,-,288.715.737,-,-,-,288.715.737,,,288715737.0,,,,288715737.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,(1.241.495.337),-,(1.241.495.337),,,,,-1241495337.0,,-1241495337.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,27.610.741.150.000,3.211.560.416.270,565.534.994,923.641.612.156,15.876.913.750.948,163.213.679.327,47.786.636.143.695,27610741150000.0,3211560416270.0,565534994.0,923641612156.0,15876913750948.0,163213679327.0,47786636143695.0
