row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2020 > Tải sản của bộ phận,Tải sản của bộ phận,137.591.518.586.036,7.182.405.136.476,1.464.515.369.989,3.753.721.908.201,(18.480.726.611.865),131.511.434.388.837,137591518586036.0,7182405136476.0,1464515369989.0,3753721908201.0,-18480726611865.0,131511434388837.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2020 > Tổng tài sản,Tổng tài sản,137.591.518.586.036,7.182.405.136.476,1.464.515.369.989,3.753.721.908.201,(18.480.726.611.865),131.511.434.388.837,137591518586036.0,7182405136476.0,1464515369989.0,3753721908201.0,-18480726611865.0,131511434388837.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2020 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,83.392.904.434.271,3.040.173.481.198,914.515.369.989,2.440.408.591.833,(17.496.353.794.565),72.291.648.082.726,83392904434271.0,3040173481198.0,914515369989.0,2440408591833.0,-17496353794565.0,72291648082726.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2020 > Tổng nợ phải trả,Tổng nợ phải trả,83.392.904.434.271,3.040.173.481.198,914.515.369.989,2.440.408.591.833,(17.496.353.794.565),72.291.648.082.726,83392904434271.0,3040173481198.0,914515369989.0,2440408591833.0,-17496353794565.0,72291648082726.0
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi tiêu vốn,Chi tiêu vốn,11.458.247.219.708,457.819.591.787,41.962.248.521,11.406.857.366,(53.790.362.334),11.915.645.555.048,11458247219708.0,457819591787.0,41962248521.0,11406857366.0,-53790362334.0,11915645555048.0
Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,4.113.610.616.426,498.228.571.269,100.805.990.097,69.983.930.617,(42.748.467.800),4.739.880.640.609,4113610616426.0,498228571269.0,100805990097.0,69983930617.0,-42748467800.0,4739880640609.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,17.252.704.951,830.833.886,1.943.942.533,136.415.237,(12.212.230),20.151.684.377,17252704951.0,830833886.0,1943942533.0,136415237.0,-12212230.0,20151684377.0
Phân bổ chi phí đất trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Phân bổ chi phí đất trả trước dài hạn,Phân bổ chi phí đất trả trước dài hạn,13.623.836.208,6.884.072.387,1.922.056.122,-,(729.190.280),21.700.774.437,13623836208.0,6884072387.0,1922056122.0,,-729190280.0,21700774437.0
