row_label_raw,row_label_full,Lợi thế thương mại,Lợi thế thương mại_1,Lợi thế thương mại_2,Lợi thế thương mại_3,Lợi thế thương mại_4,Lợi thế thương mại_5,numeric__Lợi thế thương mại_1,numeric__Lợi thế thương mại_2,numeric__Lợi thế thương mại_3,numeric__Lợi thế thương mại_4,numeric__Lợi thế thương mại_5
,,,Công ty CP Năng lượng Hòa Phát VND,Công ty TNHH Chăn nuôi Lạc Thủy VND,Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,Công ty CP Xây dựng Long Việt VND,Tổng cộng VND,,,,,
Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,,,,,
Số dư đầu năm và cuối năm,Giá gốc > Số dư đầu năm và cuối năm,Số dư đầu năm và cuối năm,206.244.396.684,4.367.130.430,195.950.665,59.880.000.000,270.687.477.779,206244396684.0,4367130430.0,195950665.0,59880000000.0,270687477779.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,,,,,
Số dư đầu năm,Phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,197.650.880.166,873.426.096,-,10.978.000.000,209.502.306.262,197650880166.0,873426096.0,,10978000000.0,209502306262.0
Phân bổ trong năm,Phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,8.593.516.518,3.493.704.334,-,5.988.000.000,18.075.220.852,8593516518.0,3493704334.0,,5988000000.0,18075220852.0
Số dư cuối năm,Phân bổ lũy kế > Số dư cuối năm,Số dư cuối năm,206.244.396.684,4.367.130.430,-,16.966.000.000,227.577.527.114,206244396684.0,4367130430.0,,16966000000.0,227577527114.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,,,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,8.593.516.518,3.493.704.334,195.950.665,48.902.000.000,61.185.171.517,8593516518.0,3493704334.0,195950665.0,48902000000.0,61185171517.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,-,-,195.950.665,42.914.000.000,43.109.950.665,,,195950665.0,42914000000.0,43109950665.0
