row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,13.113.467.453.926,29.212.039.947.941,1.021.786.574.335,98.437.534.168,353.066.259.598,6.142.351.927,43.804.940.121.895,13113467453926.0,29212039947941.0,1021786574335.0,98437534168.0,353066259598.0,6142351927.0,43804940121895.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,18.650.762.220,216.311.326.561,173.119.419.198,16.696.203.670,-,796.079.999,425.573.791.648,18650762220.0,216311326561.0,173119419198.0,16696203670.0,,796079999.0,425573791648.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,17.870.386.689.502,19.963.600.763.250,712.237.370.040,37.658.498.217,32.484.511.005,1.701.086.596,38.618.068.918.610,17870386689502.0,19963600763250.0,712237370040.0,37658498217.0,32484511005.0,1701086596.0,38618068918610.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,-,64.115.268.797,-,-,-,-,64.115.268.797,,64115268797.0,,,,,64115268797.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(8.844.849.328),-,-,-,-,-,(8.844.849.328),-8844849328.0,,,,,,-8844849328.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(16.071.611.081),(141.504.128.389),(12.194.999.810),(433.784.771),(119.280.188.140),(154.121.255),(289.638.833.446),-16071611081.0,-141504128389.0,-12194999810.0,-433784771.0,-119280188140.0,-154121255.0,-289638833446.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,71.343.489.820,(72.440.145.976),11.270.000,1.085.386.156,-,-,-,71343489820.0,-72440145976.0,11270000.0,1085386156.0,,,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(532.615.843),2.919.295.645,-,-,-,-,2.386.679.802,-532615843.0,2919295645.0,,,,,2386679802.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,31.048.399.319.216,49.245.042.327.829,1.894.959.633.763,153.443.837.440,266.270.582.463,8.485.397.267,82.616.601.097.978,31048399319216.0,49245042327829.0,1894959633763.0,153443837440.0,266270582463.0,8485397267.0,82616601097978.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
