row_label_raw,row_label_full,Tỷ lệ lợi ích trực tiếp của công ty con cấp 3,Tỷ lệ lợi ích trực tiếp của công ty con cấp 3_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 3_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
31/12/2020,31/12/2020,31/12/2020,1/1/2020,31/12/2020,1/1/2020,,,
100%,31/12/2020 > 100%,100%,100%,"95,111%","95,111%",1.0,0.95111,0.95111
