row_label_raw,row_label_full,Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2020 > Giá trị ghi số Triệu VND > 8.126.993 > 170.000,31/12/2020 > Giá trị hợp lý Triệu VND > 8.126.993 > (*),1/1/2020 > Giá trị ghi số Triệu VND > 1.374.340 > 46.526,1/1/2020 > Giá trị hợp lý Triệu VND > 1.374.340 > (*),numeric__31/12/2020 > Giá trị ghi số Triệu VND > 8.126.993 > 170.000,numeric__31/12/2020 > Giá trị hợp lý Triệu VND > 8.126.993 > (*),numeric__1/1/2020 > Giá trị ghi số Triệu VND > 1.374.340 > 46.526,numeric__1/1/2020 > Giá trị hợp lý Triệu VND > 1.374.340 > (*)
Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền và các khoản tương đương tiền,Dược phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,13.696.099,13.696.099,4.544.900,4.544.900,13696099.0,13696099.0,4544900.0,4544900.0
- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,4.267.310,4.267.310,2.801.604,2.801.604,4267310.0,4267310.0,2801604.0,2801604.0
- Phải thu về cho vay dài hạn và phải thu dài hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu về cho vay dài hạn và phải thu dài hạn khác,- Phải thu về cho vay dài hạn và phải thu dài hạn khác,96.439,(*),27.718,(*),96439.0,,27718.0,
Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Dược phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,700,(*),700,(*),700.0,,700.0,
Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,,,,,
- Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,- Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,(11.654.368),(11.654.368),(8.090.259),(8.090.259),-11654368.0,-11654368.0,-8090259.0,-8090259.0
"- Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác","Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác","- Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác",(2.664.734),(*),(6.672.088),(*),-2664734.0,,-6672088.0,
- Các khoản vay,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(54.141.713),(*),(36.679.753),(*),-54141713.0,,-36679753.0,
,,,(42.103.274),,(42.646.312),,-42103274.0,,-42646312.0,
