row_label_raw,row_label_full,19. 2. Chi tiết vốn góp của chủ sở hữu,Cuối năm,%,Đầu năm,%_1,numeric__Cuối năm,numeric__%,numeric__Đầu năm,numeric__%_1
Vốn góp của Nhà nước,Vốn góp của Nhà nước,Vốn góp của Nhà nước,,,,,,,,
Vốn góp của các đối tượng khác,Vốn góp của Nhà nước > Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,3.365.267.520.000,"100,00%",3.365.267.520.000,"100,00%",3365267520000.0,1.0,3365267520000.0,1.0
Cộng,Vốn góp của Nhà nước > Cộng,Cộng,3.365.267.520.000,"100,00%",3.365.267.520.000,"100,00%",3365267520000.0,1.0,3365267520000.0,1.0
