row_label_raw,row_label_full,col_0,Cuối năm > Giá trị,Cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Đầu năm > Giá trị,Đầu năm > Số có khả năng trả nợ,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Đầu năm > Giá trị,numeric__Đầu năm > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,1.644.872.047.682,1.644.872.047.682,2.994.506.074.688,3.179.369.191.438,1.829.735.164.432,1.829.735.164.432,1644872047682.0,1644872047682.0,2994506074688.0,3179369191438.0,1829735164432.0,1829735164432.0
Bên khác,Bên khác,Bên khác,1.579.942.047.682,1.579.942.047.682,2.806.006.074.688,2.885.799.191.438,1.659.735.164.432,1.659.735.164.432,1579942047682.0,1579942047682.0,2806006074688.0,2885799191438.0,1659735164432.0,1659735164432.0
- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,481.248.609.410,481.248.609.410,799.626.020.687,818.100.336.593,499.722.925.316,499.722.925.316,481248609410.0,481248609410.0,799626020687.0,818100336593.0,499722925316.0,499722925316.0
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,295.742.033.506,295.742.033.506,738.097.863.008,713.959.263.686,271.603.434.184,271.603.434.184,295742033506.0,295742033506.0,738097863008.0,713959263686.0,271603434184.0,271603434184.0
- Ngân hàng VP Bank - CN An Giang,- Ngân hàng VP Bank - CN An Giang,- Ngân hàng VP Bank - CN An Giang,124.998.474.677,124.998.474.677,411.979.208.107,562.793.358.964,275.812.625.534,275.812.625.534,124998474677.0,124998474677.0,411979208107.0,562793358964.0,275812625534.0,275812625534.0
- Ngân hàng TMCP Á Châu - CN An Giang,- Ngân hàng TMCP Á Châu - CN An Giang,- Ngân hàng TMCP Á Châu - CN An Giang,58.581.069.837,58.581.069.837,87.227.486.237,57.388.656.200,28.742.239.800,28.742.239.800,58581069837.0,58581069837.0,87227486237.0,57388656200.0,28742239800.0,28742239800.0
- Ngân hàng Phát Triển Tp.HCM - CN Nguyễn Trãi,- Ngân hàng Phát Triển Tp.HCM - CN Nguyễn Trãi,- Ngân hàng Phát Triển Tp.HCM - CN Nguyễn Trãi,,,23.578.581.300,46.216.888.700,22.638.307.400,22.638.307.400,,,23578581300.0,46216888700.0,22638307400.0,22638307400.0
- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,,,,400.306.306.950,400.306.306.950,400.306.306.950,,,,400306306950.0,400306306950.0,400306306950.0
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,13.907.404.202,13.907.404.202,43.926.814.102,45.171.220.850,15.151.810.950,15.151.810.950,13907404202.0,13907404202.0,43926814102.0,45171220850.0,15151810950.0,15151810950.0
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,,,,33.043.420.000,33.043.420.000,33.043.420.000,,,,33043420000.0,33043420000.0,33043420000.0
- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,149.942.243.860,149.942.243.860,251.113.968.876,186.551.242.154,85.379.517.138,85.379.517.138,149942243860.0,149942243860.0,251113968876.0,186551242154.0,85379517138.0,85379517138.0
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,455.522.212.190,455.522.212.190,450.456.132.371,22.268.497.341,27.334.577.160,27.334.577.160,455522212190.0,455522212190.0,450456132371.0,22268497341.0,27334577160.0,27334577160.0
Bên liên quan,Bên liên quan,Bên liên quan,64.930.000.000,64.930.000.000,188.500.000.000,293.570.000.000,170.000.000.000,170.000.000.000,64930000000.0,64930000000.0,188500000000.0,293570000000.0,170000000000.0,170000000000.0
- Công ty TNHH Sao Mai Super Feed,- Công ty TNHH Sao Mai Super Feed,- Công ty TNHH Sao Mai Super Feed,62.930.000.000,62.930.000.000,186.500.000.000,293.570.000.000,170.000.000.000,170.000.000.000,62930000000.0,62930000000.0,186500000000.0,293570000000.0,170000000000.0,170000000000.0
- Công ty Có phần Du Lịch Đồng Tháp,- Công ty Có phần Du Lịch Đồng Tháp,- Công ty Có phần Du Lịch Đồng Tháp,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0,,,
