row_label_raw,row_label_full,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNHa) Chứng khoán kinh doanhb) Đầu tư nằm giữ đến ngày đáo hạn,Cuối năm > Giá gốc,Cuối năm > Giá trị ghi số,Cuối năm > Dự phòng,Đầu năm > Giá gốc,Đầu năm > Giá trị ghi số,Đầu năm > Dự phòng,numeric__Cuối năm > Giá gốc,numeric__Cuối năm > Giá trị ghi số,numeric__Cuối năm > Dự phòng,numeric__Đầu năm > Giá gốc,numeric__Đầu năm > Giá trị ghi số,numeric__Đầu năm > Dự phòng
b1) Ngắn hạn,b1) Ngắn hạn,b1) Ngắn hạn,96.073.338.159,96.073.338.159,,203.846.257.353,203.846.257.353,,96073338159.0,96073338159.0,,203846257353.0,203846257353.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,96.073.338.159,96.073.338.159,,203.846.257.353,203.846.257.353,,96073338159.0,96073338159.0,,203846257353.0,203846257353.0,
b2) Dài hạn,b2) Dài hạn,b2) Dài hạn,30.000.000.000,30.000.000.000,,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0,,30000000000.0,30000000000.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,,,,,,,,,,,,
- Trái phiếu,- Tiền gửi có kỳ hạn > - Trái phiếu,- Trái phiếu,30.000.000.000,30.000.000.000,,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0,,30000000000.0,30000000000.0,
Cộng,- Tiền gửi có kỳ hạn > Cộng,Cộng,126.073.338.159,126.073.338.159,,233.846.257.353,233.846.257.353,,126073338159.0,126073338159.0,,233846257353.0,233846257353.0,
Tên tổ chức phát hành,Tên tổ chức phát hành,Tên tổ chức phát hành,Số lượng,Mệnh giá,Tổng trị giá,Lãi suất trả sau,Ngày phát hành,Ngày đáo hạn,,,,,,
Ngân Hàng TMCP Công Thương Việt Nam,Tên tổ chức phát hành > Ngân Hàng TMCP Công Thương Việt Nam,Ngân Hàng TMCP Công Thương Việt Nam,300.000,100.000,30.000.000.000,"Lãi suất tham chiếu + 1,3%/năm",20/07/2023,20/07/2033,300000.0,100000.0,30000000000.0,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Cuối năm,Cuối năm,Cuối năm,Đầu năm,Đầu năm,Đầu năm,,,,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
