row_label_raw,row_label_full,col_0,Cuối năm > Giá trị,Cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Đầu năm > Giá trị,Đầu năm > Số có khả năng trả nợ,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Đầu năm > Giá trị,numeric__Đầu năm > Số có khả năng trả nợ
Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,311.758.000.000,311.758.000.000,311.758.000.000,305.791.773.406,305.791.773.406,305.791.773.406,311758000000.0,311758000000.0,311758000000.0,305791773406.0,305791773406.0,305791773406.0
Bên khác,Bên khác,Bên khác,311.758.000.000,311.758.000.000,311.758.000.000,300.828.137.043,300.828.137.043,300.828.137.043,311758000000.0,311758000000.0,311758000000.0,300828137043.0,300828137043.0,300828137043.0
- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,,,,155.920.869.188,155.920.869.188,155.920.869.188,,,,155920869188.0,155920869188.0,155920869188.0
- Ngân Hàng Công Thương - CN Đồng - Hà Nội,- Ngân Hàng Công Thương - CN Đồng - Hà Nội,- Ngân Hàng Công Thương - CN Đồng - Hà Nội,25.850.000.000,25.850.000.000,25.850.000.000,,,,25850000000.0,25850000000.0,25850000000.0,,,
- Ngân Hàng Công Thương - CN Đồng Tháp,- Ngân Hàng Công Thương - CN Đồng Tháp,- Ngân Hàng Công Thương - CN Đồng Tháp,227.000.000.000,227.000.000.000,227.000.000.000,,,,227000000000.0,227000000000.0,227000000000.0,,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,58.908.000.000,58.908.000.000,58.908.000.000,144.907.267.855,144.907.267.855,144.907.267.855,58908000000.0,58908000000.0,58908000000.0,144907267855.0,144907267855.0,144907267855.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,4.963.636.363,4.963.636.363,4.963.636.363,,,,4963636363.0,4963636363.0,4963636363.0
- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,,,,4.145.454.545,4.145.454.545,4.145.454.545,,,,4145454545.0,4145454545.0,4145454545.0
- Công ty Cổ phần Du Lịch Đồng Tháp,- Công ty Cổ phần Du Lịch Đồng Tháp,- Công ty Cổ phần Du Lịch Đồng Tháp,,,,818.181.818,818.181.818,818.181.818,,,,818181818.0,818181818.0,818181818.0
Cộng,Cộng,Cộng,1.956.630.047.682,1.956.630.047.682,3.306.264.074.688,3.485.160.964.844,2.135.526.937.838,2.135.526.937.838,1956630047682.0,1956630047682.0,3306264074688.0,3485160964844.0,2135526937838.0,2135526937838.0
