row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết
1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,"09 Nguyễn Kim, P12, Q5, TP.HCM","66,00%","66,00%",,0.66,0.66
2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,"06 Đốc Bình Kiều, P2, TP Cao Lãnh, Đồng Tháp","86,76%","86,76%",,0.8676,0.8676
3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"326 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An Giang","63,94%","63,94%",,0.6394,0.6394
4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,"Số 17 Nguyễn Văn Cung, P.Mỹ Long, TP.Long Xuyên, An Giang","71,82%","71,82%",,0.7182,0.7182
5. Công ty Cổ phần Nhụt Hồng,5. Công ty Cổ phần Nhụt Hồng,5. Công ty Cổ phần Nhụt Hồng,"Tòa nhà VCCI, tầng 4, số 12 Hòa Bình, Phường An Cư, Quận Ninh Kiều, Cần Thơ","60,00%","60,00%",,0.6,0.6
6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,"CCN Вам Công, Ap An Thạnh, Xã Bình Thành, Huyện Lắp Vò, Tính Đồng Thán","100,00%","100,00%",,1.0,1.0
7. Công ty TNHH TM Sao Mai Solar,7. Công ty TNHH TM Sao Mai Solar,7. Công ty TNHH TM Sao Mai Solar,"326 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An Giang","100,00%","100,00%",,1.0,1.0
8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,"QL80 CCN Вам Công, Lắp Vò, Đồng Tháp","51,23%","51,23%",,0.5123,0.5123
9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,"QL80 CCN Вам Công, Lắp Vò, Đồng Tháp","43,95%","82,67%",,0.4395,0.8267
10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính (*),10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính (*),10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính (*),"254/1, Hùng Vương - Phường Mỹ Long - Thành phố Long Xuyên - An Giang.",0%,"91,95%",,0.0,0.9195
11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,"Khu D, Mỹ Thạnh Bắc, Đức Huệ, Long An","86,40%","95,67%",,0.8640000000000001,0.9567
12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,"Số 1, Tiểu khu 834, cụm 3 tầng, xã Ea Pô, Huyện'Cur Jút, Tỉnh Đắk Nông, Việt Nam","49,94%","97,50%",,0.49939999999999996,0.975
13. Công ty TNHH Đầu Tư Xây dựng LT,13. Công ty TNHH Đầu Tư Xây dựng LT,13. Công ty TNHH Đầu Tư Xây dựng LT,"Cụm CN Вам Cống, fiscal An Thạnh, Xã Bình Thành, Huyện Lắp Vò, Đồng Tháp","100,00%","100,00%",,1.0,1.0
