row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,"66,00%","66,00%",(3.200.480),92.580.359,0.66,0.66,-3200480.0,92580359.0
2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,"86,76%","86,76%",8.647.674.072,11.916.313.528,0.8676,0.8676,8647674072.0,11916313528.0
3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"63,94%","63,94%",659.121.066,(4.128.811.211),0.6394,0.6394,659121066.0,-4128811211.0
4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,"71,82%","71,82%",310.462.470,3.015.322.354,0.7182,0.7182,310462470.0,3015322354.0
5. Công ty Cổ phần Nhụt Hồng,5. Công ty Cổ phần Nhụt Hồng,5. Công ty Cổ phần Nhụt Hồng,"60,00%","60,00%",19.991.538.601,147.896.180.103,0.6,0.6,19991538601.0,147896180103.0
6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",111.996.151.940,255.652.628.241,1.0,1.0,111996151940.0,255652628241.0
7. Công ty TNHH TM Sao Mai Solar,7. Công ty TNHH TM Sao Mai Solar,7. Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%",16.565.341.028,39.640.366.743,1.0,1.0,16565341028.0,39640366743.0
8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,"51,23%","51,23%",30.186.994.265,582.708.944.438,0.5123,0.5123,30186994265.0,582708944438.0
9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,"43,95%","82,67%",75.313.544.684,157.410.057.140,0.4395,0.8267,75313544684.0,157410057140.0
10. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,10. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,10. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,"76,67%","76,67%",70.199.187.917,179.649.485.703,0.7667,0.7667,70199187917.0,179649485703.0
11. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,11. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,11. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,"49,94%","97,50%",(479.932.324),(562.403.908),0.49939999999999996,0.975,-479932324.0,-562403908.0
12. Công ty TNHH Đầu Tư Xây Dụng LT (**),12. Công ty TNHH Đầu Tư Xây Dụng LT (**),12. Công ty TNHH Đầu Tư Xây Dụng LT (**),"100,00%","100,00%",527.312.592,527.312.592,1.0,1.0,527312592.0,527312592.0
