row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Hợp đồng/Khé ước > 089/2023/HDHM/CIB,Hạn mức/Số tiền vay (VND) > VND > 400.000.000.000,Dư nợ vay > VND > 124.998.474.677,Thời hạn vay (Tháng) > 6,Lãi suất (%) > Theo từng khế ước nhận nợ,Mục đích vay > Bổ sung vốn lưu động phục vụ SXKD,Hình thức đảm bảo > TSCĐ,numeric__Hợp đồng/Khé ước > 089/2023/HDHM/CIB,numeric__Hạn mức/Số tiền vay (VND) > VND > 400.000.000.000,numeric__Dư nợ vay > VND > 124.998.474.677,numeric__Thời hạn vay (Tháng) > 6,numeric__Lãi suất (%) > Theo từng khế ước nhận nợ,numeric__Mục đích vay > Bổ sung vốn lưu động phục vụ SXKD,numeric__Hình thức đảm bảo > TSCĐ
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,520.452.212.190,12,Theo từng hợp đồng cụ thể,Phục vụ sản xuất kinh doanh,Tín chấp,,,520452212190.0,12.0,,,
Ngân hàng TMCP công thương Đông Hà Nội,Ngân hàng TMCP công thương Đông Hà Nội,Ngân hàng TMCP công thương Đông Hà Nội,388-05/2022/HDDCVDADDT/NHCT131-SAOMAI,650.000.000.000,368.397.500.000,72,Theo từng khế ước nhận nợ,"Các chi phí thuộc mức đầu tư của dự án 2, KDT mới Sao Mai Lam Sơn - Sao Vàng, thọ Xuân, Thanh Hóa","TSCĐ, cổ phiếu và các TS hình thành từ dự án",,650000000000.0,368397500000.0,72.0,,,
Ngân hàng TMCP công thương Đông Tháp,Ngân hàng TMCP công thương Đông Tháp,Ngân hàng TMCP công thương Đông Tháp,161/2023 -01,980.000.000.000,977.000.000.000,109,Theo từng khế ước nhận nợ,"Dự án điện mặt trời giai đoạn 1,2",TSCĐ hình thành từ dự án,,980000000000.0,977000000000.0,109.0,,,
Ngân hàng TMCP công thương Đông Tháp,Ngân hàng TMCP công thương Đông Tháp,Ngân hàng TMCP công thương Đông Tháp,162/2023 -01,1.130.000.000.000,1.128.000.000.000,70,Theo từng khế ước nhận nợ,"Dự án điện mặt trời giai đoạn 3,4",TSCĐ hình thành từ dự án,,1130000000000.0,1128000000000.0,70.0,,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,539.990.000.000,22,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,539990000000.0,22.0,,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,810.787.538.025,22,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,810787538025.0,22.0,,,
Tổng cộng:,Tổng cộng:,Tổng cộng:,,,5.469.047.085.707,,,,,,,5469047085707.0,,,,
