row_label_raw,row_label_full,05 . PHẢI THU KHÁC,05 . PHẢI THU KHÁC_1,05 . PHẢI THU KHÁC_2,05 . PHẢI THU KHÁC_3,05 . PHẢI THU KHÁC_4,numeric__05 . PHẢI THU KHÁC_1,numeric__05 . PHẢI THU KHÁC_2,numeric__05 . PHẢI THU KHÁC_3,numeric__05 . PHẢI THU KHÁC_4
,,,Cuối năm,Cuối năm,Đầu năm,Đầu năm,,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,174.217.200.058,,190.041.129.376,,174217200058.0,,190041129376.0,
Tạm ứng,Tạm ứng,Tạm ứng,151.871.744.303,,171.342.787.567,,151871744303.0,,171342787567.0,
- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,11.141.417.000,,18.366.577.000,,11141417000.0,,18366577000.0,
- Lê Văn Ba,- Lê Văn Ba,- Lê Văn Ba,18.991.827.000,,17.487.227.000,,18991827000.0,,17487227000.0,
- CBCNV khác,- CBCNV khác,- CBCNV khác,121.738.500.303,,135.488.983.567,,121738500303.0,,135488983567.0,
Phải thu khác,Phải thu khác,Phải thu khác,22.345.455.755,,18.698.341.809,,22345455755.0,,18698341809.0,
Bên khác,Bên khác,Bên khác,14.953.566.755,,9.100.363.622,,14953566755.0,,9100363622.0,
Bên liên quan,Bên liên quan,Bên liên quan,7.391.889.000,,9.597.978.187,,7391889000.0,,9597978187.0,
Công ty CP Nhật Hồng,Công ty CP Nhật Hồng,Công ty CP Nhật Hồng,,,9.597.978.187,,,,9597978187.0,
CTCP Dũng Thịnh Phát Sài Gòn,CTCP Dũng Thịnh Phát Sài Gòn,CTCP Dũng Thịnh Phát Sài Gòn,315.000.000,,,,315000000.0,,,
CTY CP Đầu Tư Vĩnh An Đắk Nông,CTY CP Đầu Tư Vĩnh An Đắk Nông,CTY CP Đầu Tư Vĩnh An Đắk Nông,7.076.889.000,,,,7076889000.0,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,12.010.000.000,,14.331.609.409,,12010000000.0,,14331609409.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",12.010.000.000,,14.331.609.409,,12010000000.0,,14331609409.0,
Cộng,Cộng,Cộng,186.227.200.058,,204.372.738.785,,186227200058.0,,204372738785.0,
