row_label_raw,row_label_full,a) Ngoại tệ các loại,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"7.649,86","48.295,17",7649.86,48295.17
- Yên nhật,- Yên nhật,- Yên nhật,"5,00","5,00",5.0,5.0
