row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_1","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_2","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_3","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_4","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_5","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_6","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_1","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_2","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_3","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_4","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_5","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,873.940.060.816,2.550.256.694.104,41.061.813.326,5.486.492.397,,3.470.745.060.643,873940060816.0,2550256694104.0,41061813326.0,5486492397.0,,3470745060643.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,1.239.804.898,6.093.925.999,30.398.251.110,188.476.645,,37.920.458.652,1239804898.0,6093925999.0,30398251110.0,188476645.0,,37920458652.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,,6.093.925.999,30.398.251.110,188.476.645,,36.680.653.754,,6093925999.0,30398251110.0,188476645.0,,36680653754.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,1.239.804.898,,,,,1.239.804.898,1239804898.0,,,,,1239804898.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,,4.559.451.000,7.704.674.000,,,12.264.125.000,,4559451000.0,7704674000.0,,,12264125000.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,4.559.451.000,7.704.674.000,,,12.264.125.000,,4559451000.0,7704674000.0,,,12264125000.0
4. Số dư cuối năm,I. Nguyên giá > 4. Số dư cuối năm,4. Số dư cuối năm,875.179.865.714,2.551.791.169.103,63.755.390.436,5.674.969.042,,3.496.401.394.295,875179865714.0,2551791169103.0,63755390436.0,5674969042.0,,3496401394295.0
II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn lũy kế > 1. Số dư đầu năm,1. Số dư đầu năm,86.996.924.064,309.536.583.778,28.845.255.019,3.885.860.700,,429.264.623.561,86996924064.0,309536583778.0,28845255019.0,3885860700.0,,429264623561.0
2. Khấu hao trong năm,II. Giá trị hao mòn lũy kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,40.231.100.608,105.488.752.963,4.608.595.100,608.908.924,,150.937.357.595,40231100608.0,105488752963.0,4608595100.0,608908924.0,,150937357595.0
- Khấu hao trong năm,II. Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,40.231.100.608,105.488.752.963,4.608.595.100,608.908.924,,150.937.357.595,40231100608.0,105488752963.0,4608595100.0,608908924.0,,150937357595.0
- Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,,,
3. Giảm trong năm,- Tăng khác > 3. Giảm trong năm,3. Giảm trong năm,,2.591.086.796,4.649.727.407,,,7.240.814.203,,2591086796.0,4649727407.0,,,7240814203.0
"- Thanh lý, nhượng bán","- Tăng khác > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,2.591.086.796,4.649.727.407,,,7.240.814.203,,2591086796.0,4649727407.0,,,7240814203.0
4. Số dư cuối năm,- Tăng khác > 4. Số dư cuối năm,4. Số dư cuối năm,127.228.024.672,412.434.249.945,28.804.122.712,4.494.769.624,,572.961.166.953,127228024672.0,412434249945.0,28804122712.0,4494769624.0,,572961166953.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,786.943.136.752,2.240.720.110.326,12.216.558.307,1.600.631.697,,3.041.480.437.082,786943136752.0,2240720110326.0,12216558307.0,1600631697.0,,3041480437082.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,747.951.841.042,2.139.356.919.158,34.951.267.724,1.180.199.418,,2.923.440.227.342,747951841042.0,2139356919158.0,34951267724.0,1180199418.0,,2923440227342.0
