row_label_raw,row_label_full,Đầu năm,Đầu năm_1,Đầu năm_2,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,numeric__Đầu năm_1,numeric__Đầu năm_2,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,5.989.121.836.624,1.731.378.184.738,1.768.637.219.663,9.489.137.241.025,,,5989121836624.0,1731378184738.0,1768637219663.0,9489137241025.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,,,
Tổng tài sản,Tải sản không phân bổ > Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,5.989.121.836.624,1.731.378.184.738,1.768.637.219.663,9.489.137.241.025,,,5989121836624.0,1731378184738.0,1768637219663.0,9489137241025.0
Nợ phải trả bộ phận,Tải sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,226.454.126.525,7.853.902.928,225.441.067.378,459.749.096.831,,,226454126525.0,7853902928.0,225441067378.0,459749096831.0
Nợp phải trả không phân bổ,Tải sản không phân bổ > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,5.020.812.859.008,,,,,,5020812859008.0
Tổng nợ phải trả,Tải sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,226.454.126.525,7.853.902.928,225.441.067.378,5.480.561.955.839,,,226454126525.0,7853902928.0,225441067378.0,5480561955839.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,572.538.010.129,127.622.952.753,18197 787 022,155.010.159.764,1.925.658.604.082,2.799.027.513.750,572538010129.0,127622952753.0,,155010159764.0,1925658604082.0,2799027513750.0
Tải sản bộ phận,Năm nay > Tải sản bộ phận,Tải sản bộ phận,4.135.762.179.153,3.633.895.173.584,115.742.365.708,1.031.985.924.616,1.637.828.510.669,10.555.214.153.730,4135762179153.0,3633895173584.0,115742365708.0,1031985924616.0,1637828510669.0,10555214153730.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,208.679.862.013,,,,,,208679862013.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,441.419.583.823,185.994.096.125,16.848.374.163,550.202.305.915,2.419.609.854.265,3.614.074.214.291,441419583823.0,185994096125.0,16848374163.0,550202305915.0,2419609854265.0,3614074214291.0
Tải sản bộ phận,Năm trước > Tải sản bộ phận,Tải sản bộ phận,4.155.528.131.488,2.679.146.014.171,118.346.860.192,1.113.221.120.447,1.422.895.114.727,9.489.137.241.025,4155528131488.0,2679146014171.0,118346860192.0,1113221120447.0,1422895114727.0,9489137241025.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,1.055.327.769.701,,,,,,1055327769701.0
