row_label_raw,row_label_full,PHẢI TRẢ NGƯỜI BÁN,Cuối năm > Giá trị,Cuối năm > Số có khả năng trả nợ,Đầu năm > Giá trị,Đầu năm > Số có khả năng trả nợ,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Số có khả năng trả nợ,numeric__Đầu năm > Giá trị,numeric__Đầu năm > Số có khả năng trả nợ
a) Ngắn hạn (*),a) Ngắn hạn (*),a) Ngắn hạn (*),153.294.682.009,153.294.682.009,151.018.583.387,151.018.583.387,153294682009.0,153294682009.0,151018583387.0,151018583387.0
Bên khác,Bên khác,Bên khác,153.294.682.009,153.294.682.009,150.939.487.034,150.939.487.034,153294682009.0,153294682009.0,150939487034.0,150939487034.0
+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,,,15.528.161.000,15.528.161.000,,,15528161000.0,15528161000.0
+ Công ty Ćổ Phần Nông Sản Tràng An,+ Công ty Ćổ Phần Nông Sản Tràng An,+ Công ty Ćổ Phần Nông Sản Tràng An,12.654.607.500,12.654.607.500,17.464.845.000,17.464.845.000,12654607500.0,12654607500.0,17464845000.0,17464845000.0
+ Công ty TNHH Sing Việt Sông Đốc,+ Công ty TNHH Sing Việt Sông Đốc,+ Công ty TNHH Sing Việt Sông Đốc,5.951.963.500,5.951.963.500,,,5951963500.0,5951963500.0,,
+ Công ty Cổ Phần Đầu Tư XD & TM Trường Thịnh,+ Công ty Cổ Phần Đầu Tư XD & TM Trường Thịnh,+ Công ty Cổ Phần Đầu Tư XD & TM Trường Thịnh,8.526.877.551,8.526.877.551,,,8526877551.0,8526877551.0,,
+ Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận,61.400.000.000,61.400.000.000,8.602.069.800,8.602.069.800,61400000000.0,61400000000.0,8602069800.0,8602069800.0
+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,1.721.859.580,1.721.859.580,1.721.859.580,1.721.859.580,1721859580.0,1721859580.0,1721859580.0,1721859580.0
+ Công ty Sterling And Wilson Private Limited,+ Công ty Sterling And Wilson Private Limited,+ Công ty Sterling And Wilson Private Limited,24.876.982.503,24.876.982.503,24.876.982.503,24.876.982.503,24876982503.0,24876982503.0,24876982503.0,24876982503.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,38.162.391.375,38.162.391.375,82.745.569.151,82.745.569.151,38162391375.0,38162391375.0,82745569151.0,82745569151.0
Bên liên quan,Bên liên quan,Bên liên quan,,,79.096.353,79.096.353,,,79096353.0,79096353.0
+ Công ty CP Tư Văn và Đầu Tư Tài Chính (Astar),+ Công ty CP Tư Văn và Đầu Tư Tài Chính (Astar),+ Công ty CP Tư Văn và Đầu Tư Tài Chính (Astar),,,79.096.353,79.096.353,,,79096353.0,79096353.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Bên khác,Bên khác,Bên khác,,,,,,,,
Cộng,Bên khác > Cộng,Cộng,153.294.682.009,153.294.682.009,151.018.583.387,151.018.583.387,153294682009.0,153294682009.0,151018583387.0,151018583387.0
