row_label_raw,row_label_full,"Chi phí công cụ, dụng cụ",4.749.671.483,3.416.903.184,numeric__4.749.671.483,numeric__3.416.903.184
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,34.932.809.102,28.847.682.078,34932809102.0,28847682078.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,8.107.512.094,6.332.414.794,8107512094.0,6332414794.0
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,,(83.409.400),,-83409400.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",1.485.117.717,144.377.038,1485117717.0,144377038.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,37.431.712.652,27.140.763.853,37431712652.0,27140763853.0
Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,14.338.667.918,20.911.278.246,14338667918.0,20911278246.0
Cộng,Cộng,Cộng,101.045.490.966,86.710.009.793,101045490966.0,86710009793.0
