row_label_raw,row_label_full,03 . PHẢI THU KHÁCH HÀNG,03 . PHẢI THU KHÁCH HÀNG_1,03 . PHẢI THU KHÁCH HÀNG_2,numeric__03 . PHẢI THU KHÁCH HÀNG_1,numeric__03 . PHẢI THU KHÁCH HÀNG_2
,,,Cuối năm,Đầu năm,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,111.082.182.349,149.430.820.552,111082182349.0,149430820552.0
Bên khác,Bên khác,Bên khác,111.082.182.349,144.572.853.252,111082182349.0,144572853252.0
+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,,533.973.610,,533973610.0
+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,6.851.211.068,6.851.211.068,6851211068.0,6851211068.0
+ Công ty mua bán điện,+ Công ty mua bán điện,+ Công ty mua bán điện,49.338.090.302,50.082.969.596,49338090302.0,50082969596.0
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,,12.700.437.401,,12700437401.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,54.892.880.979,74.404.261.577,54892880979.0,74404261577.0
Bên liên quan,Bên liên quan,Bên liên quan,,4.857.967.300,,4857967300.0
+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,,4.857.967.300,,4857967300.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
Cộng,b) Dài hạn > Cộng,Cộng,111.082.182.349,149.430.820.552,111082182349.0,149430820552.0
