row_label_raw,row_label_full,col_0,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,123.345.787,1.122.414.409,123345787.0,1122414409.0
- Tiền bảo hiểm cháy nổ NLMT An Hảo,- Tiền bảo hiểm cháy nổ NLMT An Hảo,- Tiền bảo hiểm cháy nổ NLMT An Hảo,,98.988.482,,98988482.0
"- CPQC cổng chào, đường đèn mùng xuân tỉnh AG","- CPQC cổng chào, đường đèn mùng xuân tỉnh AG","- CPQC cổng chào, đường đèn mùng xuân tỉnh AG",,1.023.425.927,,1023425927.0
"- Công cụ, dụng cụ","- Công cụ, dụng cụ","- Công cụ, dụng cụ",123.345.787,,123345787.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,549.629.044.023,570.544.168.193,549629044023.0,570544168193.0
"- Tiền thuê đất, chi phí đèn bù giải phóng mặt bằng Nhà máy năng lượng điện mặt trời Tịnh Biên An Giang (*)","- Tiền thuê đất, chi phí đèn bù giải phóng mặt bằng Nhà máy năng lượng điện mặt trời Tịnh Biên An Giang (*)","- Tiền thuê đất, chi phí đèn bù giải phóng mặt bằng Nhà máy năng lượng điện mặt trời Tịnh Biên An Giang (*)",467.378.089.286,478.020.264.842,467378089286.0,478020264842.0
"- Cán bộ, nhân viên đi học","- Cán bộ, nhân viên đi học","- Cán bộ, nhân viên đi học",8.258.425.196,9.364.128.165,8258425196.0,9364128165.0
- Tiền thuê đất dự án Khách Sạn Sa Đéc (*),- Tiền thuê đất dự án Khách Sạn Sa Đéc (*),- Tiền thuê đất dự án Khách Sạn Sa Đéc (*),48.160.812.674,49.272.216.050,48160812674.0,49272216050.0
- Tiền thuê đất chợ Sao Mai Bình Khánh 5 (*),- Tiền thuê đất chợ Sao Mai Bình Khánh 5 (*),- Tiền thuê đất chợ Sao Mai Bình Khánh 5 (*),3.694.263.721,3.785.857.033,3694263721.0,3785857033.0
"- Công cụ, dụng cụ","- Công cụ, dụng cụ","- Công cụ, dụng cụ",2.647.813.937,2.261.170.826,2647813937.0,2261170826.0
- Chi phí sửa chữa văn phòng,- Chi phí sửa chữa văn phòng,- Chi phí sửa chữa văn phòng,1.707.960.167,,1707960167.0,
- Chi phí khác,- Chi phí khác,- Chi phí khác,17.781.679.042,27.840.531.277,17781679042.0,27840531277.0
Cộng,Cộng,Cộng,549.752.389.810,571.666.582.602,549752389810.0,571666582602.0
