row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Tổng Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Tổng Cộng
Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2022,,,,,,
Vào ngày 01/01/2022,Cho năm tài chính kết thúc ngày 31/12/2022 > Vào ngày 01/01/2022,Vào ngày 01/01/2022,2.588.678.490.000,45.056.200.000,86.099.684.648,4.971.647.795,1.314.357.608.381,4.039.163.630.824,2588678490000.0,45056200000.0,86099684648.0,4971647795.0,1314357608381.0,4039163630824.0
Tăng vốn trong năm trước,Cho năm tài chính kết thúc ngày 31/12/2022 > Tăng vốn trong năm trước,Tăng vốn trong năm trước,776.589.030.000,,,,,776.589.030.000,776589030000.0,,,,,776589030000.0
Lãi trong năm trước,Cho năm tài chính kết thúc ngày 31/12/2022 > Lãi trong năm trước,Lãi trong năm trước,,,,,476.201.782.362,476.201.782.362,,,,,476201782362.0,476201782362.0
Tăng do trích lập từ lợi nhuận,Cho năm tài chính kết thúc ngày 31/12/2022 > Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,8.000.000.000,,,8.000.000.000,,,8000000000.0,,,8000000000.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm vốn trong năm trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(10.000.000.000),(10.000.000.000),,,,,-10000000000.0,-10000000000.0
Chia cổ tức,Giảm vốn trong năm trước > Chia cổ tức,Chia cổ tức,,,,,(1.281.379.158.000),(1.281.379.158.000),,,,,-1281379158000.0,-1281379158000.0
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Tại ngày 31/12/2022,Giảm khác > Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.365.267.520.000,45.056.200.000,94.099.684.648,4.971.647.795,499.180.232.743,4.008.575.285.186,3365267520000.0,45056200000.0,94099684648.0,4971647795.0,499180232743.0,4008575285186.0
