row_label_raw,row_label_full,col_0,Giá trị số sách > Cuối năm > Giá trị,Giá trị số sách > Cuối năm > Dự phòng,Giá trị số sách > Đầu năm > Giá trị,Giá trị số sách > Đầu năm > Dự phòng,Giá trị hợp lý > Cuối năm > Giá trị,Giá trị hợp lý > Đầu năm > Giá trị,numeric__Giá trị số sách > Cuối năm > Giá trị,numeric__Giá trị số sách > Cuối năm > Dự phòng,numeric__Giá trị số sách > Đầu năm > Giá trị,numeric__Giá trị số sách > Đầu năm > Dự phòng,numeric__Giá trị hợp lý > Cuối năm > Giá trị,numeric__Giá trị hợp lý > Đầu năm > Giá trị
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,136.615.920.724,,150.889.520.623,,136.615.920.724,150.889.520.623,136615920724.0,,150889520623.0,,136615920724.0,150889520623.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,111.082.182.349,(9.791.211.068),149.430.820.552,(9.791.211.068),101.290.971.281,139.639.609.484,111082182349.0,-9791211068.0,149430820552.0,-9791211068.0,101290971281.0,139639609484.0
Trà trước cho người bán,Tài sản tài chính > Trà trước cho người bán,Trà trước cho người bán,1.146.272.503.719,,1.032.419.792.278,,1.146.272.503.719,1.032.419.792.278,1146272503719.0,,1032419792278.0,,1146272503719.0,1032419792278.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,186.227.200.058,,204.372.738.785,,186.227.200.058,204.372.738.785,186227200058.0,,204372738785.0,,186227200058.0,204372738785.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,96.073.338.159,,203.846.257.353,,96.073.338.159,203.846.257.353,96073338159.0,,203846257353.0,,96073338159.0,203846257353.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.307.021.715.311,(5.494.310.076),2.315.681.715.311,(6.547.589.590),2.301.527.405.235,2.309.134.125.721,2307021715311.0,-5494310076.0,2315681715311.0,-6547589590.0,2301527405235.0,2309134125721.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.983.292.860.320,(15.285.521.144),4.056.640.844.902,(16.338.800.658),3.968.007.339.176,4.040.302.044.244,3983292860320.0,-15285521144.0,4056640844902.0,-16338800658.0,3968007339176.0,4040302044244.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,153.294.682.009,,151.018.583.387,,153.294.682.009,151.018.583.387,153294682009.0,,151018583387.0,,153294682009.0,151018583387.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,250.940.197.141,,109.180.582.806,,250.940.197.141,109.180.582.806,250940197141.0,,109180582806.0,,250940197141.0,109180582806.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,5.469.047.085.707,,5.020.812.859.008,,5.469.047.085.707,5.020.812.859.008,5469047085707.0,,5020812859008.0,,5469047085707.0,5020812859008.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,4.602.468.007,,4.092.228.715,,4.602.468.007,4.092.228.715,4602468007.0,,4092228715.0,,4602468007.0,4092228715.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,16.001.091.308,,15.602.634.125,,16.001.091.308,15.602.634.125,16001091308.0,,15602634125.0,,16001091308.0,15602634125.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,5.893.885.524.172,-,5.300.706.888.041,-,5.893.885.524.172,5.300.706.888.041,5893885524172.0,,5300706888041.0,,5893885524172.0,5300706888041.0
