row_label_raw,row_label_full,08. TÀI SẢN ĐỒ DANG ĐÀI HẠN,08. TÀI SẢN ĐỒ DANG ĐÀI HẠN_1,08. TÀI SẢN ĐỒ DANG ĐÀI HẠN_2,numeric__08. TÀI SẢN ĐỒ DANG ĐÀI HẠN_1,numeric__08. TÀI SẢN ĐỒ DANG ĐÀI HẠN_2
,,,Cuối năm,Đầu năm,,
"a) Chi phí sân xuất, kinh doanh dở dang dài hạn","a) Chi phí sân xuất, kinh doanh dở dang dài hạn","a) Chi phí sân xuất, kinh doanh dở dang dài hạn","a) Chi phí sân xuất, kinh doanh dở dang dài hạn","a) Chi phí sân xuất, kinh doanh dở dang dài hạn",,
b) Xây dựng cơ bản dở dang,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > b) Xây dựng cơ bản dở dang",b) Xây dựng cơ bản dở dang,189.516.800.700,293.921.831.439,189516800700.0,293921831439.0
Mua sắm TSCĐ,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > Mua sắm TSCĐ",Mua sắm TSCĐ,5.758.883.653,,5758883653.0,
Xây dựng cơ bản,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > Xây dựng cơ bản",Xây dựng cơ bản,183.757.917.047,293.921.831.439,183757917047.0,293921831439.0
- Đường GTGT BK3,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Đường GTGT BK3",- Đường GTGT BK3,1.147.923.083,1.147.923.083,1147923083.0,1147923083.0
- Khu dân cư Hoà Bình,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Khu dân cư Hoà Bình",- Khu dân cư Hoà Bình,1.653.591.160,1.653.591.160,1653591160.0,1653591160.0
- Khu Độ Thị Mỹ Tho,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Khu Độ Thị Mỹ Tho",- Khu Độ Thị Mỹ Tho,882.034.099,882.034.099,882034099.0,882034099.0
- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang",- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,55.992.877.500,55.992.877.500,55992877500.0,55992877500.0
- Khu Dân Cu Lam Sơn Sao Vàng,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Khu Dân Cu Lam Sơn Sao Vàng",- Khu Dân Cu Lam Sơn Sao Vàng,6.904.811.700,131.815.000.000,6904811700.0,131815000000.0
- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk",- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,174.000.000,174.000.000,174000000.0,174000000.0
- Khu Dân Cu Tân Châu - An Giang,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Khu Dân Cu Tân Châu - An Giang",- Khu Dân Cu Tân Châu - An Giang,34.315.727.108,34.165.727.108,34315727108.0,34165727108.0
- KDC Sao Mai Bình Khánh 4,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - KDC Sao Mai Bình Khánh 4",- KDC Sao Mai Bình Khánh 4,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
- Khu Độ Thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Khu Độ Thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa",- Khu Độ Thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
"- KĐT mới Sao Mai xã Minh Sơn & TT Triệu Sơn, Thanh Hóa","a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - KĐT mới Sao Mai xã Minh Sơn & TT Triệu Sơn, Thanh Hóa","- KĐT mới Sao Mai xã Minh Sơn & TT Triệu Sơn, Thanh Hóa",48.293.491.853,41.161.077.853,48293491853.0,41161077853.0
- Khu Resort Thọ Xuân (KINGLE) Thanh Hóa,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Khu Resort Thọ Xuân (KINGLE) Thanh Hóa",- Khu Resort Thọ Xuân (KINGLE) Thanh Hóa,28.488.829.637,23.601.536.000,28488829637.0,23601536000.0
- Văn Phòng - CN Đắk Nông,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Văn Phòng - CN Đắk Nông",- Văn Phòng - CN Đắk Nông,1.328.064.636,1.328.064.636,1328064636.0,1328064636.0
- Công trình khác,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > - Công trình khác",- Công trình khác,2.576.566.271,,2576566271.0,
Cộng,"a) Chi phí sân xuất, kinh doanh dở dang dài hạn > Cộng",Cộng,189.516.800.700,293.921.831.439,189516800700.0,293921831439.0
