row_label_raw,row_label_full,col_0,"Kinh doanh xi măng, clinker và hoạt động có liên quan","Hoạt động đầu tư, xây dựng, thu phí giao thông theo hình thức B.O.T",Tổng,"numeric__Kinh doanh xi măng, clinker và hoạt động có liên quan","numeric__Hoạt động đầu tư, xây dựng, thu phí giao thông theo hình thức B.O.T",numeric__Tổng
,,,VND,VND,VND,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,
Doanh thu thuần,Doanh thu > Doanh thu thuần,Doanh thu thuần,6.848.207.780.576,36.037.916.561,6.884.245.697.137,6848207780576.0,36037916561.0,6884245697137.0
Giá vốn,Doanh thu > Giá vốn,Giá vốn,6.229.381.237.747,9.616.656.147,6.238.997.893.894,6229381237747.0,9616656147.0,6238997893894.0
Thu nhập/(chi phí) phát sinh,Doanh thu > Thu nhập/(chi phí) phát sinh,Thu nhập/(chi phí) phát sinh,(559.750.692.944),(4.722.688.241),(564.473.381.185),-559750692944.0,-4722688241.0,-564473381185.0
Lợi nhuận thuần trước thuế,Doanh thu > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,59.075.849.885,21.698.572.173,80.774.422.058,59075849885.0,21698572173.0,80774422058.0
Thuế thu nhập doanh nghiệp,Doanh thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,16.072.288.103,4.339.714.435,20.412.002.538,16072288103.0,4339714435.0,20412002538.0
Lợi nhuận thuần sau thuế,Doanh thu > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,43.003.561.782,17.358.857.738,60.362.419.520,43003561782.0,17358857738.0,60362419520.0
