row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.511.538.525.960,3.348.030.896.424,,300.0,,2511538525960.0,3348030896424.0
I.,I.,I.,Nợ ngắn hạn,310,,2.460.075.502.855,3.327.002.972.589,,310.0,,2460075502855.0,3327002972589.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,1.108.584.352.425,1.130.188.504.916,,311.0,15.0,1108584352425.0,1130188504916.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,16,120.473.854.038,75.684.116.525,,312.0,16.0,120473854038.0,75684116525.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,81.111.418.267,28.191.984.961,,313.0,17.0,81111418267.0,28191984961.0
4.,4.,4.,Phải trả người lao động,314,,145.196.009.274,102.292.690.328,,314.0,,145196009274.0,102292690328.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,10.971.794.731,10.635.740.111,,315.0,18.0,10971794731.0,10635740111.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,19,114.164.716.079,132.430.538.991,,318.0,19.0,114164716079.0,132430538991.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,222.896.044.268,223.151.050.239,,319.0,20.0,222896044268.0,223151050239.0
8.,8.,8.,Vay ngắn hạn,320,21,589.338.686.137,1.511.389.960.951,,320.0,21.0,589338686137.0,1511389960951.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,1.161.756.592,922.267.989,,321.0,22.0,1161756592.0,922267989.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,66.176.871.044,112.116.117.578,,322.0,,66176871044.0,112116117578.0
II.,II.,II.,Nợ dài hạn,330,,51.463.023.105,21.027.923.835,,330.0,,51463023105.0,21027923835.0
1.,1.,1.,Thuế thu nhập hoãn lại phải trả,341,32,202.995.873,276.070.093,,341.0,32.0,202995873.0,276070093.0
2.,2.,2.,Vay dài hạn,338,21,28.431.860.606,-,,338.0,21.0,28431860606.0,
3.,3.,3.,Dự phòng phải trả dài hạn,342,22,22.828.166.626,20.751.853.742,,342.0,22.0,22828166626.0,20751853742.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.088.809.141.788,4.875.324.777.724,,400.0,,5088809141788.0,4875324777724.0
I.,I.,I.,Vốn chủ sở hữu,410,23,5.088.809.141.788,4.875.324.777.724,,410.0,23.0,5088809141788.0,4875324777724.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.815.899.110.000,3.815.899.110.000,,411.0,,3815899110000.0,3815899110000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.815.899.110.000,3.815.899.110.000,,,,3815899110000.0,3815899110000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,70.877.131.506,70.877.131.506,,412.0,,70877131506.0,70877131506.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,918.345.539.128,918.345.539.128,,418.0,,918345539128.0,918345539128.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,273.733.888.504,60.446.262.724,,421.0,,273733888504.0,60446262724.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,271.624,300.082.255,,,,271624.0,300082255.0
,,,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,273.733.616.880,60.146.180.469,,,,273733616880.0,60146180469.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,9.953.472.650,9.756.734.366,,429.0,,9953472650.0,9756734366.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.600.347.667.748,8.223.355.674.148,,440.0,,7600347667748.0,8223355674148.0
