row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số cuối năm > Giá trị hợp lý VND,Số cuối năm > Số lượng cổ phiếu_1,Số cuối năm > Giá trị VND_1,Số cuối năm > Dự phòng VND_1,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số cuối năm > Số lượng cổ phiếu_1,numeric__Số cuối năm > Giá trị VND_1,numeric__Số cuối năm > Dự phòng VND_1,numeric__Số đầu năm > Giá trị hợp lý VND
Công ty Cổ phần Cao su Bến Thành (i),Công ty Cổ phần Cao su Bến Thành (i),Công ty Cổ phần Cao su Bến Thành (i),2.310.000,42.000.000.000,(13.125.000.000),28.875.000.000,2.310.000,42.000.000.000,(8.736.000.000),33.264.000.000,2310000.0,42000000000.0,-13125000000.0,28875000000.0,2310000.0,42000000000.0,-8736000000.0,33264000000.0
Công ty Cổ phần Vicem Thạch Cao Xi măng (i),Công ty Cổ phần Vicem Thạch Cao Xi măng (i),Công ty Cổ phần Vicem Thạch Cao Xi măng (i),700.000,14.000.000.000,(10.850.000.000),3.150.000.000,700.000,14.000.000.000,(10.780.000.000),3.220.000.000,700000.0,14000000000.0,-10850000000.0,3150000000.0,700000.0,14000000000.0,-10780000000.0,3220000000.0
,,,,56.000.000.000,(23.975.000.000),32.025.000.000,,56.000.000.000,(19.516.000.000),36.484.000.000,,56000000000.0,-23975000000.0,32025000000.0,,56000000000.0,-19516000000.0,36484000000.0
