row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VND > Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,7.963.542.745.613,7.360.182.839.307,,1.0,26.0,7963542745613.0,7360182839307.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,599.554.685.809,475.937.142.170,,2.0,26.0,599554685809.0,475937142170.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,26,7.363.988.059.804,6.884.245.697.137,,10.0,26.0,7363988059804.0,6884245697137.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ đã cung cấp,11,27,6.443.931.529.152,6.238.997.893.894,,11.0,27.0,6443931529152.0,6238997893894.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,920.056.530.652,645.247.803.243,,20.0,,920056530652.0,645247803243.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,22.379.427.090,9.617.298.945,,21.0,29.0,22379427090.0,9617298945.0
7.,7.,7.,Chi phí tài chính,22,30,87.982.814.701,95.844.715.287,,22.0,30.0,87982814701.0,95844715287.0
,,,- Trong đó: Chi phí lãi vay,23,,42.394.816.479,53.892.973.542,,23.0,,42394816479.0,53892973542.0
8.,8.,8.,Chi phí bán hàng,25,31,196.809.738.403,185.589.405.232,,25.0,31.0,196809738403.0,185589405232.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,31,299.650.391.018,284.594.667.829,,26.0,31.0,299650391018.0,284594667829.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,357.993.013.620,88.836.313.840,,30.0,,357993013620.0,88836313840.0
11.,11.,11.,Thu nhập khác,31,,3.440.094.700,11.198.046.102,,31.0,,3440094700.0,11198046102.0
12.,12.,12.,Chi phí khác,32,,11.069.978.355,19.259.937.884,,32.0,,11069978355.0,19259937884.0
13.,13.,13.,(Lỗ) khác (40=31-32),40,,(7.629.883.655),(8.061.891.782),,40.0,,-7629883655.0,-8061891782.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,350.363.129.965,80.774.422.058,,50.0,,350363129965.0,80774422058.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,76.543.174.687,23.577.437.958,,51.0,32.0,76543174687.0,23577437958.0
16.,16.,16.,(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,32,(110.399.886),(3.165.435.420),,52.0,32.0,-110399886.0,-3165435420.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,273.930.355.164,60.362.419.520,,60.0,,273930355164.0,60362419520.0
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của Cổ đông Công ty mẹ,61,,273.733.616.880,60.146.180.469,,61.0,,273733616880.0,60146180469.0
17.2.,17.2.,17.2.,Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,196.738.284,216.239.051,,62.0,,196738284.0,216239051.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,33,717,101,,70.0,33.0,717.0,101.0
