row_label_raw,row_label_full,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,1.657.313.551.722,1.903.995.283.234,100.0,,1657313551722.0,1903995283234.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,518.180.034.470,848.514.761.917,110.0,5.0,518180034470.0,848514761917.0
1. Tiền,1. Tiền,1. Tiền,111,,518.180.034.470,348.010.052.607,111.0,,518180034470.0,348010052607.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,500.504.709.310,112.0,,,500504709310.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,14,17.729.476.303,17.014.852.499,120.0,14.0,17729476303.0,17014852499.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,17.729.476.303,17.014.852.499,123.0,,17729476303.0,17014852499.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,308.389.614.241,342.021.939.954,130.0,,308389614241.0,342021939954.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,173.843.871.958,240.158.234.166,131.0,6.0,173843871958.0,240158234166.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,74.120.654.747,39.264.959.715,132.0,7.0,74120654747.0,39264959715.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,60.425.087.536,62.598.746.073,136.0,8.0,60425087536.0,62598746073.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,682.597.019.484,646.113.879.205,140.0,9.0,682597019484.0,646113879205.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,692.973.836.025,656.799.316.365,141.0,,692973836025.0,656799316365.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(10.376.816.541),(10.685.437.160),149.0,,-10376816541.0,-10685437160.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,130.417.407.224,50.329.849.659,150.0,,130417407224.0,50329849659.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,10,55.965.997.458,30.872.305.027,151.0,10.0,55965997458.0,30872305027.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,64.288.384.064,19.456.982.703,152.0,,64288384064.0,19456982703.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,10.163.025.702,561.929,153.0,17.0,10163025702.0,561929.0
