row_label_raw,row_label_full,Ông Nguyễn Thanh Tùng > Ông Nguyễn Quốc Thắng > Ông Đình Quang Dũng > Ông Lâm Hiện Đạt > Ông Nguyễn Văn Lập,Chủ tịch (được bầu từ ngày 10 tháng 02 năm 2026) > Thành viên (phụ trách hoạt động của Hội đồng quản trị từ ngày 01 tháng 12 năm 2025 đến ngày 10 tháng 02 năm 2026) > Chủ tịch (miễn nhiệm từ ngày 01 tháng 12 năm 2025) > Thành viên (miễn nhiệm từ ngày 10 tháng 02 năm 2026) > Thành viên (được bầu từ ngày 10 tháng 02 năm 2026) > Thành viên (miễn nhiệm từ ngày 10 tháng 02 năm 2026),numeric__Chủ tịch (được bầu từ ngày 10 tháng 02 năm 2026) > Thành viên (phụ trách hoạt động của Hội đồng quản trị từ ngày 01 tháng 12 năm 2025 đến ngày 10 tháng 02 năm 2026) > Chủ tịch (miễn nhiệm từ ngày 01 tháng 12 năm 2025) > Thành viên (miễn nhiệm từ ngày 10 tháng 02 năm 2026) > Thành viên (được bầu từ ngày 10 tháng 02 năm 2026) > Thành viên (miễn nhiệm từ ngày 10 tháng 02 năm 2026)
Ông Phan Xuân Hiệu,Ông Phan Xuân Hiệu,Ông Phan Xuân Hiệu,Thành viên,
Ông Võ Ngọc Trung,Ông Võ Ngọc Trung,Ông Võ Ngọc Trung,Thành viên,
Ông Hoàng Cảnh Nguyễn,Ông Hoàng Cảnh Nguyễn,Ông Hoàng Cảnh Nguyễn,Thành viên độc lập,
Ông Nguyễn Quốc Huy,Ông Nguyễn Quốc Huy,Ông Nguyễn Quốc Huy,Thành viên độc lập,
