row_label_raw,row_label_full,Số cuối năm,"Kinh doanh xi măng, clinker và hoạt động có liên quan > VND","Hoạt động đầu tư, xây dựng, thu phí giao thông theo hình thức B.O.T > VND",Tổng > VND,"numeric__Kinh doanh xi măng, clinker và hoạt động có liên quan > VND","numeric__Hoạt động đầu tư, xây dựng, thu phí giao thông theo hình thức B.O.T > VND",numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,7.040.309.942.353,560.037.725.395,7.600.347.667.748,7040309942353.0,560037725395.0,7600347667748.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,7.600.347.667.748,,,7600347667748.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.502.367.580.431,9.170.945.529,2.511.538.525.960,2502367580431.0,9170945529.0,2511538525960.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,2.511.538.525.960,,,2511538525960.0
Số đầu năm,Số đầu năm,Số đầu năm,"Kinh doanh xi măng, clinker và hoạt động có liên quan","Hoạt động đầu tư, xây dựng, thu phí giao thông theo hình thức B.O.T",Tổng,,,
Số đầu năm,Số đầu năm,Số đầu năm,VND,VND,VND,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,7.629.860.273.287,593.495.400.861,8.223.355.674.148,7629860273287.0,593495400861.0,8223355674148.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,8.223.355.674.148,,,8223355674148.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.339.361.858.834,8.669.037.590,3.348.030.896.424,3339361858834.0,8669037590.0,3348030896424.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,3.348.030.896.424,,,3348030896424.0
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,
Năm nay,Năm nay,Năm nay,"Kinh doanh xi măng, clinker và hoạt động có liên quan","Hoạt động đầu tư, xây dựng, thu phí giao thông theo hình thức B.O.T",Tổng,,,
Năm nay,Năm nay,Năm nay,VND,VND,VND,,,
Doanh thu thuần,Năm nay > Doanh thu thuần,Doanh thu thuần,7.225.118.173.665,138.869.886.139,7.363.988.059.804,7225118173665.0,138869886139.0,7363988059804.0
Giá vốn,Năm nay > Giá vốn,Giá vốn,6.406.270.183.585,37.661.345.567,6.443.931.529.152,6406270183585.0,37661345567.0,6443931529152.0
Thu nhập/(chi phí) phát sinh,Năm nay > Thu nhập/(chi phí) phát sinh,Thu nhập/(chi phí) phát sinh,(552.427.578.632),(17.265.822.055),(569.693.400.687),-552427578632.0,-17265822055.0,-569693400687.0
Lợi nhuận thuần trước thuế,Năm nay > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,266.420.411.448,83.942.718.517,350.363.129.965,266420411448.0,83942718517.0,350363129965.0
Thuế thu nhập doanh nghiệp,Năm nay > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,59.644.149.342,16.788.625.459,76.432.774.801,59644149342.0,16788625459.0,76432774801.0
Lợi nhuận thuần sau thuế,Năm nay > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,206.776.262.106,67.154.093.058,273.930.355.164,206776262106.0,67154093058.0,273930355164.0
