row_label_raw,row_label_full,col_0,Số đầu năm > Phải thu,Số đầu năm > Phải trả,Số phải nộp trong năm,Số đã thực nộp/được khấu trừ trong năm,Phải thu,Số cuối năm,numeric__Số đầu năm > Phải thu,numeric__Số đầu năm > Phải trả,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp/được khấu trừ trong năm,numeric__Phải thu,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,-,2.017.875.039,171.854.582.363,170.590.827.577,-,3.281.629.825,,2017875039.0,171854582363.0,170590827577.0,,3281629825.0
Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,-,-,5.747.152.073,5.747.152.073,-,-,,,5747152073.0,5747152073.0,,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,28.540.280,28.540.280,-,-,,,28540280.0,28540280.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,13.078.789.759,76.543.174.687,25.899.105.358,-,63.722.859.088,,13078789759.0,76543174687.0,25899105358.0,,63722859088.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,7.005.519.243,29.871.833.194,30.457.916.123,-,6.419.436.314,,7005519243.0,29871833194.0,30457916123.0,,6419436314.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,4.413.660.436,58.488.203.905,57.182.026.655,-,5.719.837.686,,4413660436.0,58488203905.0,57182026655.0,,5719837686.0
Phí báo vệ môi trường,Phí báo vệ môi trường,Phí báo vệ môi trường,-,1.577.344.030,19.736.001.076,19.385.247.799,-,1.928.097.307,,1577344030.0,19736001076.0,19385247799.0,,1928097307.0
Phí cấp quyền khai thác khoáng sản,Phí cấp quyền khai thác khoáng sản,Phí cấp quyền khai thác khoáng sản,-,-,43.797.880.818,43.797.880.818,-,-,,,43797880818.0,43797880818.0,,
"Thuế nhà đất, tiền thuê đất và các loại thuế khác","Thuế nhà đất, tiền thuê đất và các loại thuế khác","Thuế nhà đất, tiền thuê đất và các loại thuế khác",-,-,35.984.435.555,46.147.461.257,10.163.025.702,-,,,35984435555.0,46147461257.0,10163025702.0,
"Thuế, phí, lệ phí và các khoản phải nộp khác","Thuế, phí, lệ phí và các khoản phải nộp khác","Thuế, phí, lệ phí và các khoản phải nộp khác",561.929,98.796.454,7.571.509.203,7.630.185.681,-,39.558.047,561929.0,98796454.0,7571509203.0,7630185681.0,,39558047.0
,,,561.929,28.191.984.961,449.623.313.154,406.866.343.621,10.163.025.702,81.111.418.267,561929.0,28191984961.0,449623313154.0,406866343621.0,10163025702.0,81111418267.0
