row_label_raw,row_label_full,Ông Nguyễn Quốc Thắng,Tổng giám đốc,numeric__Tổng giám đốc
Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Phó Tổng giám đốc,
Ông Bùi Nguyên Quỳnh,Ông Bùi Nguyên Quỳnh,Ông Bùi Nguyên Quỳnh,Phó Tổng giám đốc,
Ông Lâm Hiện Đạt,Ông Lâm Hiện Đạt,Ông Lâm Hiện Đạt,Phó Tổng giám đốc (bỗ nhiệm từ ngày 10 tháng 4 năm 2025),
