row_label_raw,row_label_full,Bà Trung Thị Tâm Thanh,Trường ban,numeric__Trường ban
Bà Trần Thị Hằng,Bà Trần Thị Hằng,Bà Trần Thị Hằng,Thành viên,
Bà Lê Thị Thu Thủy,Bà Lê Thị Thu Thủy,Bà Lê Thị Thu Thủy,Thành viên,
