row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2024Nghìn VND,2023Nghìn VND,numeric__Bản chất của giao dịch,numeric__2024Nghìn VND,numeric__2023Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Nhận tiền vay,500.000.000,-,,500000000.0,
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Trả tiền vay,500.000.000,-,,500000000.0,
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Chi phí lãi vay,87.671,-,,87671.0,
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Mua dịch vụ,3.041.460,1.055.783,,3041460.0,1055783.0
Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Khoản trái phiếu phát hành,-,1.500.000.000,,,1500000000.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Khoản trái phiếu đã trả,1.500.000.000,1.500.000.000,,1500000000.0,1500000000.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Lãi trái phiếu (i),6.774.715,10.858.017,,6774715.0,10858017.0
Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,,,
Công ty Cổ phần Dịch vụ,Công ty Cổ phần Dịch vụ,Công ty Cổ phần Dịch vụ,,,,,,
Thương mại Tổng hợp,Thương mại Tổng hợp,Thương mại Tổng hợp,,,,,,
Wincommerce,Thương mại Tổng hợp > Wincommerce,Wincommerce,Lãi trái phiếu (i),154.684.932,28.748.432,,154684932.0,28748432.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,,
Công ty TNHH,Công ty mẹ > Công ty TNHH,Công ty TNHH,Lãi trái phiếu (i),-,6.163.496,,,6163496.0
Tầm nhìn Masan,Tầm nhìn Masan,Tầm nhìn Masan,,,,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH Khai thác,Các công ty con > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Phân chia lợi nhuận từ HĐHTKD,125.598.568,206.616.503,,125598568.0,206616503.0
Chế biến Khoáng sản,Các công ty con > Chế biến Khoáng sản,Chế biến Khoáng sản,Trả hộ cho NPM,21.807.021,4.075.736,,21807021.0,4075736.0
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Cho NPM vay,1.500.000.000,-,,1500000000.0,
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Lãi cho vay,70.565.753,-,,70565753.0,
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Nhận tiền từ HĐHTKD,2.000.000.000,-,,2000000000.0,
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Trả hộ bởi NPM,-,4.355.563,,,4355563.0
Công ty TNHH,Các công ty con > Công ty TNHH,Công ty TNHH,Phân chia lợi nhuận từ HĐHTKD,49.235.169,121.771.767,,49235169.0,121771767.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Nhận tiền vay,12.800.000,5.000.000,,12800000.0,5000000.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Chỉ phí lãi vay,1.212.493,1.967.781,,1212493.0,1967781.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả hộ cho MTC,22.633.730,3.770.084,,22633730.0,3770084.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả tiền vay,26.200.000,-,,26200000.0,
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Nhận tiền từ HĐHTKD,1.000.000.000,-,,1000000000.0,
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",-,-,,,
