row_label_raw,row_label_full,Ban Giám đốc,Ban Giám đốc_1,Ban Giám đốc_2,numeric__Ban Giám đốc_1,numeric__Ban Giám đốc_2
,,,Ông Ashley James McAleese,Tổng Giám đốc(từ ngày 1/1/2025),,
,,,Ông Craig Richard Bradshaw,Tổng Giám đốc(dến ngày 31/12/2024),,
,,,Ông Hady Seyeda,Phó Tổng Giám đốc(dến ngày 1/2/2025),,
,,,Bà Đình Lệ Hằng,Phó Tổng Giám đốc(dến ngày 1/2/2025),,
,,,Ông Nguyễn Huy Tuấn,Giám đốc Tài chính,,
